Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
4113,Baby Car,Bebefinn (Pt. 3),Bebefinn,10/28/2022,QM4TX2328407,"4,110",21.0,,3,29,,"294,039,774","440,593",,"21,660","1,606,012",,,,,,,,,,,,,0
4116,Nhớ Người Hay Nhớ,Nhớ Người Hay Nhớ,Chau Dang Khoa,4/30/2021,QZMHN2025919,"4,096",21.0,"30,269",40,"6,367",,,,"3,665,693","73,808,514","1,603,097,724",,,,,,,,,,,,,0
4119,Los Patitos,La Granja de Zenón Vol. 1,El Reino Infantil,4/20/2010,ARF060903046,"4,086",21.0,"3,415,634",316,"287,926",34.0,"2,160,514,390","2,891,961",463,"8,474","501,700",,,,,,,,,,,109,,0
4129,幾億光年,幾億光年,Omoinotake,1/24/2024,JPU902305217,"4,114",21.0,"46,082,088","1,755","5,204,396",72.0,"45,934,211","265,825",,,,"541,294,021",36.0,442,,1.0,"9,615",3.0,,,,"290,079",,0
4131,HONEY (ARE U COMING?),RUSH!,Måneskin,1/20/2023,ITB002301189,"4,083",21.0,"119,853,822","19,565","11,856,255",,"37,691,895","577,863","5,020","3,012,428","47,259,081","18,252,082",41.0,"81,324",158,28.0,"322,293",39.0,"2,063,738",533,"174,913","800,498",,0
4155,I'm Just Ken,Barbie The Album,Ryan Gosling,7/21/2023,USAT22305736,"4,124",20.9,"126,219,979","18,525","2,916,952",60.0,"28,725,678","608,921","97,794","79,338,367","560,299,833","1,863,971,072",22.0,,18,4.0,"39,010",14.0,"998,674","8,241",,"363,187",,0
4170,Горький вкус,Горький вкус,Султан Лагучев,1/20/2021,FR10S2137488,"4,151",20.8,"21,970,517","11,053","436,364",45.0,"455,300,901","1,789,364","187,100","17,952,393","433,329,532","1,129,669",17.0,11,,2.0,"5,452",,,,,"2,938,941",,0
4171,Давай сбежим (Искорки),Давай сбежим (Искорки),5УТРА,6/2/2023,RUA1D2354001,"4,162",20.8,"7,375,613","3,903","471,206",54.0,"136,297,891","653,910","107,200","8,177,945","130,470,945","409,137,727",4.0,"1,586",,,,,,,,,,0
4187,Федерико Феллини,Федерико Феллини,Galibri & Mavik,5/19/2021,RUA1D2117031,"4,149",20.8,"25,149,668","13,174","603,919",48.0,"406,717,108","1,567,948","242,400","41,005,985","987,819,837","551,347",17.0,282,,1.0,"56,252",,,,,"2,098,943",,0
4192,supїdo,supїdo,фрози,8/11/2023,QZPLS2305099,"4,188",20.7,"63,642,484","15,618","1,035,077",65.0,"15,786,520","508,672","305,600","89,199,660","833,809,283",,1.0,,,,,,"89,501",93,,"400,490",,0
