Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2804,اختياراتي - من فيلم مستر إكس,اختياراتي (من فيلم مستر إكس),Ahmed Saad,6/20/2023,FRX872398704,"2,781",26.6,"20,588,020","3,465","1,820,609",58.0,"179,178,650","649,493","133,700","9,283,133","274,048,028","27,579,261",6.0,"1,323",,3.0,"29,136",,,,,"161,826",,0
2806,LATTE (feat. Maria Becerra),The Academy: Segunda Misión,The Academy: Segunda Misión,3/28/2024,USWL12400693,"2,806",26.5,"25,813,787","3,297","10,885,827",68.0,"27,340,680","205,074",,,,"10,030,985",1.0,477,,,,1.0,"95,858",48,,"59,027",,1
2820,ทน,ทน,SPRITE,4/29/2021,TH2DY2100061,"2,803",26.5,"9,126,545","2,349","139,340",41.0,"440,738,171","3,204,368","1,821,332","96,385,707","1,185,912,241","27,961,594",7.0,819,,,,,,,,"117,936",,1
2825,Un Año,FANTASÍA,Sebastian Yatra,1/18/2019,USUM71821048,"2,819",26.4,"573,290,850","44,972","20,961,958",67.0,"830,580,317","5,534,299","314,552","17,545,978","164,663,552","29,178,246",45.0,"14,266",248,36.0,"162,734",21.0,"23,140,285","8,362",,,,0
2836,Yüreğim Ağlar,Yüreğim Ağlar,Amo988,9/15/2023,TRBUL2300064,"2,841",26.3,"75,979,813","7,579","4,760,968",68.0,"104,439,157","350,883","33,300","3,921,299","60,449,279","369,727,517",2.0,"2,174",,3.0,"1,583,000",,,,,"372,000",,0
2840,Влюблён,Влюблён,Akris & Teddy,5/31/2024,FRX872442897,"2,828",26.3,"306,040",1,13,15.0,,,,,,,,,,,,,,,,"610,446",,0
2846,PERO TÚ,MAÑANA SERÁ BONITO,KAROL G,2/23/2023,USUM72222545,"2,827",26.3,"212,911,684","22,815","8,668,393",71.0,"106,041,009","588,756","215,518","9,084,718","131,834,580","7,517,627",9.0,528,125,6.0,"404,308",9.0,"12,174,494","1,543",,"313,441",,1
2851,bigger thën everything,bigger thën everything,Yeat,8/10/2023,USUM72311204,"2,832",26.3,"48,790,265","26,044","5,580,526",59.0,"11,963,045","259,674",,"239,969","2,309,009","191,102,695",6.0,242,56,2.0,"43,891",,"230,247",,"5,094,725","158,531",,1
2856,Não Vou Namorar,Não Vou Namorar,DJ Ws da Igrejinha,1/19/2024,,"2,850",26.2,"73,192,291","7,800","40,120,103",79.0,"34,522,299","269,890",,,,"15,869,838",1.0,6,,24.0,"14,916,452",17.0,,,,"143,297",,1
2860,SÚPER ULTRA MEGA,Feliz Cumpleaños!,Picus,4/15/2023,MXUM72300426,"2,844",26.2,"14,167,450",963,"227,636",56.0,"246,398,948","1,783,107",,"10,206,545","145,453,664","80,150,371",,374,,,,1.0,,,,"55,529",,0
