Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
3301,Créeme,OCEAN,KAROL G,11/2/2018,USUM71817050,"3,287",24.0,"474,863,499","33,671","14,288,251",67.0,"817,844,545","3,801,744","22,342","1,320,930","21,632,035","149,759,944",28.0,"6,537",8,24.0,"209,963",34.0,"60,496,578","8,863",,"51,229",,0
3305,Corazón Roto pt. 3,Corazón Roto pt. 3,Brray,9/8/2023,USUM72313435,"3,297",23.9,"139,751,220","18,392","12,791,215",20.0,"49,641,305","248,150",,,,"28,619,808",14.0,,,13.0,"211,845",,,,,"235,413",,1
3312,عاشق مجنون - ريمكس,عاشق مجنون - ريمكس,DJW9,5/16/2023,QZK6L2307991,"3,303",23.9,,8,55,,"230,878,707","1,434,387",,,,"5,869,394",,357,,,,,,,,"42,191",,0
3317,Hasta la Raíz,Hasta la Raíz (Edición Especial),Natalia Lafourcade,1/6/2015,MXF011400582,"3,310",23.9,"657,268,053","85,246","30,225,538",74.0,"1,022,323,850","6,592,447","1,278,026","307,053,317","2,833,651,298","13,674,137",62.0,"7,945",63,39.0,"1,228,654",62.0,"24,982,305","20,136",,,,0
3322,Además de Mí - Remix,Además de Mí (Remix),Rusherking,3/4/2021,QM4TX2108898,"3,309",23.9,"206,311,125","38,601","7,092,659",62.0,"452,730,002","3,243,360",,,,"108,084,173",10.0,204,6,5.0,"33,769",8.0,,,,"266,387",,1
3329,Последняя Любовь,Последняя Любовь,MORGENSHTERN,3/8/2024,RUAGV2401222,"3,328",23.8,"11,170,433","2,065","364,180",61.0,"35,976,070","1,087,118",,"5,014","35,066",,11.0,3,,2.0,"34,118",,,,,"428,081",,1
3333,Танцы,Танцы,NLO,5/2/2023,FRX452361306,"3,338",23.8,"7,900,402","4,782","367,497",1.0,"146,296,974","819,226","258,850","16,582,173","215,446,483","306,023,843",7.0,12,,,,,,,,"998,296",,0
3346,Así Lo Quiso Dios,DESVELADO,Eslabon Armado,4/28/2023,USE7D2300024,"3,327",23.8,"173,061,521","18,616","5,085,706",67.0,"53,668,901","343,308","143,900","22,419,288","239,225,982","53,205,932",11.0,2,1,2.0,680,2.0,"23,293,442","2,938","958,109","604,065",,0
3363,Batık Gemi,Karışık Kaset,Semicenk,12/15/2023,DGA0Q2317094,"3,360",23.7,"56,695,409","4,559","4,098,516",68.0,"63,800,824","219,647",,,,"289,637,676",3.0,"1,643",,2.0,"1,581,911",,,,,"239,217",,0
3367,Kafamın İçi,Yine Çalıyor,Ebru Yaşar,5/22/2024,FRX762464095,"3,355",23.7,"4,177,077",267,"3,686,411",63.0,"10,927,692","75,044",,,,,3.0,696,,2.0,"1,567,756",,101,,,"53,530",,0
