Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
3856,En Peligro de Extinción,30 Aniversario,La Adictiva,5/13/2018,MXA411400084,"3,832",21.8,"310,742,518","20,307","11,542,516",65.0,"811,416,034","2,074,845","96,574","2,297,779","32,767,411","13,506,591",10.0,"3,303",10,2.0,"10,405",28.0,"114,192,119","37,293",,"1,171,550",,0
3858,晴る,晴る,ヨルシカ,1/5/2024,JPPO02304150,"3,834",21.8,"46,945,798","4,120","5,907,064",70.0,"50,822,146","474,399",,,,"298,810,189",24.0,334,,1.0,"20,798",4.0,,,,"161,457",,0
3861,Zukunft Pink (feat. Inéz),Love Songs (deluxe),Peter Fox,10/20/2022,DEA622201528,"3,822",21.8,"131,713,257","43,947","6,669,237",58.0,"33,686,131","355,898","33,909","7,289,705","94,823,161","110,208,884",17.0,"36,564",,10.0,"891,590",10.0,"4,354",15,,"638,655",,1
3865,Electric Love,Dopamine,BØRNS,11/10/2014,USUM71416307,"3,874",21.7,"1,088,889,743","190,953","46,698,179",75.0,"271,796,914","3,319,576","218,454","217,514,635","1,412,148,968","2,675,248",91.0,"9,250",89,19.0,"10,937",27.0,"134,110,319","126,690",,"3,713,524",,0
3866,MR. OCTOBER,nadie sabe lo que va a pasar mañana,Bad Bunny,10/13/2023,QMFME2364185,"3,854",21.7,"95,925,842","16,712","10,256,270",,"28,849,994","317,982",,"5,399,176","27,249,793",,4.0,24,,1.0,"171,943",3.0,"3,655,705",618,,"77,503",,1
3868,Kömür,Kömür,Mabel Matiz,5/10/2024,QM6N22432504,"3,865",21.7,"13,060,347",648,"5,441,452",70.0,"10,890,264","69,044",,,,,,"1,637",,4.0,"1,583,761",,47,,,,,0
3872,lo que hay x aquí,lo que hay x aquí,Rels B,3/10/2023,UYB282376006,"3,868",21.7,"223,617,742","28,508","7,355,147",73.0,"57,156,070","432,032","13,798","8,059,214","51,766,245","23,908,080",4.0,40,5,3.0,"26,281",5.0,"12,520",60,,"409,658",,0
3875,NADIE SABE,nadie sabe lo que va a pasar mañana,Bad Bunny,10/13/2023,QMFME2364181,"3,880",21.7,"86,588,767","16,215","2,220,706",,"31,617,320","668,926",,"506,027","5,482,577","64,083",4.0,67,,2.0,"113,738",3.0,"1,499,283","1,738",,"173,314",,1
3881,No Sufriré por Nadie - Remix,Mi Mejor Momento,Joaquin Guiller,3/3/2023,QZ5AB2358733,"3,872",21.7,"18,550,706","2,537","558,526",50.0,"159,688,005","376,830","304,800","4,292,828","117,607,339","89,313,707",,"6,664",,,,2.0,,,,"256,826",,0
3889,Quiéreme Mientras Se Pueda,Dopamina,Manuel Turizo,5/1/2020,QZDYA1800021,"3,857",21.7,"467,670,966","38,826","10,338,131",66.0,"347,013,964","1,956,639","601,012","26,647,285","306,310,424","9,447,544",26.0,"10,865",10,21.0,"270,874",17.0,"45,877,581","5,501",,"918,617",,0
