Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2863,Psycho,'The ReVe Festival' Finale,Red Velvet,12/23/2019,KRA301900597,"2,851",26.2,"471,042,668","37,370","8,743,783",66.0,"716,847,469","9,852,754","46,801","34,695,574","222,663,523","15,450,015",21.0,"6,935",5,7.0,"3,371",19.0,"3,058,867","7,402",,"578,357",,0
2880,怪物,怪物,YOASOBI,1/6/2021,JPP302000760,"2,855",26.1,"311,307,250","48,587","6,777,195",61.0,"460,930,832","3,166,818","73,300","18,691,633","275,649,626","78,255,590",38.0,938,,4.0,"20,773",7.0,"1,427,765",827,,"556,492",,0
2890,Devil Doesn't Bargain,(Un)Commentary,Alec Benjamin,4/15/2022,USAT22200712,"2,888",26.0,"203,417,763","41,522","3,635,691",66.0,"69,712,050","939,096","624,819","85,472,081","686,244,417","1,916,679,817",12.0,"18,320",111,2.0,"3,773",7.0,"43,710,605","11,796",,"885,217",,0
2893,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Haja Colírio (feat. Hugo & Guilherme) [Ao Vivo],Guilherme & Benuto,6/23/2022,BCVV82000055,"2,871",26.0,"290,735,048","17,734","15,206,997",60.0,"296,249,830","565,573","51,900","5,612,563","91,683,933","3,084,523,872",25.0,"8,531",,42.0,"605,462",7.0,218,,,"136,717",,0
2907,Bang Bang,Sweet Talker (Deluxe Version),Jessie J,1/1/2014,USUM71409737,"2,895",25.9,"1,336,196,012","120,161","65,089,226",72.0,"321,959,140","3,114,933","22,465","36,410,479","243,157,936","2,330",164.0,"30,904",140,107.0,"1,187,886",53.0,"520,899,844","621,488",,"6,269,103",,0
2925,i am not who i was,i am not who i was,Chance Peña,9/21/2023,QZTPX2322912,"2,910",25.8,"188,215,390","24,322","21,529,351",,"3,624,497",,"6,448","2,220,665","21,944,041","29,364,635",6.0,"1,022",217,3.0,"1,026,164",,"9,796,656",668,,"222,417",,0
2933,По барам,По барам,ANNA ASTI,6/3/2022,RUA1D2242027,"2,922",25.8,"21,081,306","7,633","496,465",51.0,"375,871,120","962,835","31,931","3,332,788","74,908,911","27,887,420",20.0,"1,266",,,,,,,,"1,180,992",,0
2937,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",La Pantera,1/14/2022,ES5152101308,"2,924",25.8,"283,228,006","63,076","8,936,948",62.0,"169,044,728","998,010","147,165","84,459,330","906,688,195","237,830,514",13.0,"4,039",,8.0,"12,464",22.0,,,,"696,795",,1
2942,Cartão Black,Cartão Black,MC Caverinha,5/11/2023,BRRGE2300377,"2,917",25.8,"143,421,339","23,431","7,023,908",63.0,"108,239,669","1,037,417","40,500","12,310,702","125,638,371","5,015,995",6.0,449,,14.0,"399,034",10.0,,,,"75,108",,0
2966,Halls na Língua,Halls na Língua,Kadu Martins,3/24/2023,BRTS22300004,"2,969",25.6,"150,516,046","13,034","10,626,005",63.0,"146,315,225","673,901","288,400","23,319,532","269,119,367","225,214",6.0,,,19.0,"847,205",5.0,,,,,,0
