Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1650,ULTRA SOLO REMIX,ULTRA SOLO REMIX,Polimá Westcoast,6/16/2022,CLPP22200027,"1,641",36.1,"340,527,913","50,714","21,161,966",67.0,"317,404,552","2,187,888",149,"1,809","24,715","272,065,605",30.0,"14,281",172,12.0,"1,828,696",37.0,"991,063",650,,"636,074",,0
1655,Cabaña,Cabaña,El Jordan 23,6/24/2023,QM7282354441,"1,646",36.0,"179,452,105","24,120","19,728,658",72.0,"153,398,992","769,149","33,300","13,326,690","85,169,761","136,951,294",8.0,81,,3.0,"22,501",6.0,"35,983",240,,"393,023",,1
1678,IDOL,Love Yourself 結 'Answer',BTS,8/24/2018,QM6MZ1886144,"1,670",35.7,"458,842,811","26,775","16,830,592",65.0,"1,476,805,343","24,898,525","678,711","108,081,092","664,328,364","140,322,144",11.0,"1,754",9,4.0,"2,588",14.0,,,,"1,649,510",,0
1681,青のすみか,青のすみか,Tatsuya Kitani,7/7/2023,JPU902302107,"1,669",35.7,"173,018,759","22,899","7,048,784",69.0,"135,234,952","601,338","99,600","44,826,813","471,119,326","549,624,403",27.0,525,,5.0,"35,588",11.0,"58,750",185,,"394,480",,0
1702,Dime Cómo Quieres,AYAYAY! (Súper Deluxe),Christian Nodal,11/12/2020,MXUM72006106,"1,692",35.5,"261,261,845","25,570","7,968,718",65.0,"818,241,698","5,238,973","283,651","33,684,334","333,893,267","24,950,130",23.0,"13,271",224,21.0,"2,759,428",27.0,"35,336,195","10,178",,"937,662",,0
1733,বলবোনা গো আর কোনদিন,বলবোনা গো আর কোনদিন,Md Faisal Ahmed,7/9/2023,QZLQR2199831,"1,731",35.1,"2,274",,,,"298,368,336","1,953,917",,,,,,,,,,,,,,,,0
1746,Abcdario,Abcdario,Eden Muñoz,5/13/2023,MXB952300035,"1,738",35.0,"262,504,588","19,709","8,079,760",72.0,"149,083,889","660,503",1,33,939,"10,312,183",20.0,"1,140",,5.0,"1,365,319",3.0,"8,484,383","4,718","2,834,823","657,427",,0
1786,DNA,Love Yourself 承 'Her',BTS,9/18/2017,KRA381702187,"1,778",34.5,"632,727,904","26,053","8,457,280",63.0,"1,758,381,885","26,790,883","402,921","92,435,774","537,359,844","135,121,227",34.0,"2,143",8,8.0,"195,740",,,,,"1,075,755",,0
1799,The Magic Bomb (Questions I Get Asked),The Magic Bomb (Questions I Get Asked),Hoàng Read,4/20/2021,NLZ542100934,"1,788",34.4,"4,224,438","2,333","240,248",31.0,"4,404,312","94,056","6,400,664","838,003,900","10,173,667,723","994,101",3.0,3,205,1.0,"2,116",3.0,"889,278",717,,"13,990",,0
1816,FΛSHION,FΛSHION,Britney Manson,8/11/2023,RUB862300027,"1,808",34.2,"140,756,753","20,909","5,720,836",36.0,"60,902,734","885,239","425,901","139,431,702","982,755,143","84,060,916",,11,,2.0,"27,804",,"378,942","1,511",,"459,549",,1
