Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2763,Tú Foto,Odisea,Ozuna,8/25/2017,USXDR1700551,"2,742",26.8,"500,508,660","31,360","12,078,276",68.0,"978,838,486","4,506,721","774,300","14,707,010","136,354,987","151,743,372",12.0,"5,291",65,2.0,"41,455",6.0,"167,609,560","68,009",,"1,325,578",,0
2769,Gör Bak,Gör Bak,Fatih Bulut,3/8/2024,TRBIY2400022,"2,770",26.7,"11,315,262",557,"765,288",,"53,172,804","172,426",,,,"83,084,501",2.0,,,1.0,"1,566,667",,,,,"94,321",,0
2771,Tá OK (Remix),Tá OK (Remix),DENNIS,8/3/2023,BRSME2301107,"2,775",26.7,"112,629,182","13,995","21,476,863",68.0,"45,525,215","604,580","367,300","37,624,994","569,736,479","21,091,552",16.0,"3,689",,43.0,"1,673,614",29.0,"5,997,084","1,423",,"488,961",,0
2775,El Belicon,El Belicón,Peso Pluma,2/4/2022,QMFMF2141501,"2,767",26.7,"254,275,891","27,949","5,762,358",64.0,"326,775,934","1,525,536","65,900","15,883,571","217,432,850","3,365,559",10.0,15,1,,,15.0,"25,341,310","7,579",,"488,932",,1
2785,Mentalité,EP2,Baby Gang,6/17/2022,ITC6Q2200040,"2,761",26.7,"120,605,300","50,347","2,257,680",66.0,"116,373,773","1,063,920","316,335","18,244,859","261,974,228","33,886,375",6.0,157,,3.0,"6,160",8.0,,,,"1,812,780",,1
2788,เตรียมตัวออกเดินทางได้,เตรียมตัวออกเดินทางได้,Djpaoremix,2/3/2023,QZDA42300052,"2,792",26.6,"134,274",70,"4,970",,"6,873,380","41,796","2,100,000","20,188,963","379,926,509",,,,,,,,,,,"3,926",,0
2796,Novidade na Área,Novidade na Área,Mc Livinho,6/23/2023,BCDMP2300045,"2,794",26.6,"191,234,818","26,907","12,302,377",64.0,"67,753,459","593,702",,,,"95,148,914",14.0,"2,970",,21.0,"311,304",6.0,,,,"242,735",,1
2798,Toxic Pony,Toxic Pony,ALTÉGO,1/21/2022,USRC12200203,"2,783",26.6,"103,232,015","33,577","15,250,725",60.0,"9,695,261","155,015","2,254,200","271,083,554","2,866,098,547",,13.0,"23,216",73,6.0,"35,415",6.0,"6,187,775","3,305",,"575,418",,0
2800,Aquí Abajo,AYAYAY! (Deluxe),Christian Nodal,7/10/2020,MXUM72006101,"2,791",26.6,"423,313,161","33,148","12,012,992",66.0,"597,262,135","2,506,019","18,138","2,257,511","35,488,227","19,729,407",17.0,"6,932",341,15.0,"694,760",21.0,"47,114,049","7,626",,"902,218",,0
2802,Ceux qu'on était,Chaque seconde,Pierre Garnier,2/7/2024,FRZ052400042,"2,793",26.6,"50,498,801","2,884","6,002,529",70.0,"27,905,696","361,990",,,,"91,399,340",30.0,"22,697",,40.0,"17,971,354",13.0,,,,"442,987",,0
