Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2197,BIZCOCHITO,MOTOMAMI,ROSALÍA,3/4/2022,USSM12109223,"2,192",30.6,"222,910,969","42,182","10,406,462",61.0,"69,332,188","971,738","1,874,811","1,019,396,452","11,257,489,400","20,397,038",34.0,"10,985","2,464",23.0,"134,321",28.0,"3,718,270","2,356",,"1,284,746",,1
2202,Si Fuera Fácil,Si Fuera Fácil,Grupo Marca Registrada,5/27/2022,USDXS2201491,"2,195",30.6,"285,183,501","28,319","13,770,276",65.0,"322,857,747","1,566,688","60,681","10,855,957","125,822,489",,6.0,29,,2.0,"194,190",3.0,"26,370,349","3,167",,"411,987",,0
2205,Engana Dizendo Que Ama,Dos Prédios Deluxe,Veigh,5/19/2023,QZMWW2396003,"2,188",30.6,"142,474,379","25,470","5,055,407",67.0,"144,774,313","822,345",,,,,8.0,,,8.0,"328,165",16.0,,,,"153,295",,1
2207,"Arcángel: Bzrp Music Sessions, Vol. 54","Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap,3/22/2023,UYB282301033,"2,191",30.6,"146,680,564","28,883","9,546,255",62.0,"154,916,805","3,043,720",820,"136,267","1,816,865","1,778,092",8.0,"8,273",14,13.0,"115,418",5.0,"904,756",,"590,512","199,628",,0
2208,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcángel,9/30/2016,TCACS1630643,"2,199",30.5,"462,055,272","54,302","17,847,539",71.0,"1,546,120,738","7,974,135","360,400","75,766,885","648,582,782","563,886,727",11.0,566,,7.0,"23,122",3.0,"52,143,549","25,408",,"1,569,987",,1
2220,WHERE SHE GOES,nadie sabe lo que va a pasar mañana,Bad Bunny,10/13/2023,QM6P42352188,"2,208",30.4,"717,849,037","11,199","4,402,776",,,,,,,,16.0,13,,,,,"22,701,001","8,039",,,,1
2223,Not My Fault (with Megan Thee Stallion),Mean Girls (Music From The Motion Picture),Reneé Rapp,12/15/2023,USUM72318541,"2,221",30.4,"81,494,626","8,973","20,213,928",,"101,469","1,338",,,,,23.0,"74,984",137,39.0,"3,444,021",24.0,"2,269,915",942,,,,1
2227,Cúrame,VICE VERSA,Rauw Alejandro,6/25/2021,USSD12100296,"2,215",30.4,"596,905,923","83,179","20,128,974",76.0,"132,634,826","1,011,336","803,336","177,757,652","1,408,309,850","12,050,206",72.0,"17,091",181,18.0,"238,540",25.0,"18,530,463","2,252",,"1,086,469",,1
2228,What's Next,Scary Hours 2,Drake,3/5/2021,USUG12101041,"2,220",30.4,"383,261,731","94,964","21,697,781",62.0,"84,527,592","1,340,886","60,864","41,730,155","320,457,752","112,914,243",62.0,"40,515",377,27.0,"428,254",26.0,"55,798,346","49,620","14,432,922",,,1
2230,Despídase bien,"Boca Chueca, Vol. 1",Carin Leon,6/1/2024,USA2P2432330,"2,211",30.4,"10,557,337",393,"42,329,224",72.0,"4,595,134","65,231",,,,"2,297,932",9.0,36,,6.0,"642,021",17.0,"949,464",155,"1,167","110,707",,1
