Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1582,Un Besito Más,Un Besito Más,Salastkbron,3/14/2024,AR5UH2302301,"1,581",36.9,"39,026,522","4,463","10,235,789",72.0,"52,315,903","279,494",,,,,1.0,306,,2.0,"6,018",13.0,,,,"32,814",,0
1589,Igualito a Mi Apá,Pa Que Hablen,Fuerza Regida,12/30/2022,QZ9QQ2200167,"1,585",36.8,"316,447,060","27,766","12,168,890",72.0,"254,781,747","1,096,192",,,,"1,170,727",27.0,54,,5.0,"199,071",7.0,"24,965,083","4,579",,"425,924",,1
1600,Chupón,Chupón,El Gudi,8/25/2023,PYC842302802,"1,597",36.7,"126,216,271","8,260","5,602,330",61.0,"144,392,606","1,240,106","381,384","195,604,072","2,031,974,901","360,142,040",4.0,673,,5.0,"4,851,209",4.0,,,,"233,859",,0
1602,Sonríele a la Vida,Sonríele a la Vida,DnK,6/25/2021,QZHZ62124573,"1,590",36.7,"3,052,742",31,"1,828",10.0,"542,279","8,653","6,159,800","19,334,365","367,663,104",,,,,,,,,,,"52,596",,0
1610,Move Your Body,Move Your Body,Öwnboss,10/29/2021,NLZ542101576,"1,606",36.6,"366,000,029","116,490","66,103,377",71.0,"91,180,099","918,683","107,468","82,329,732","1,275,662,545","85,555,193",78.0,"55,798",288,60.0,"1,167,910",13.0,"598,467",277,,"4,585,715",,0
1621,Victoria's Secret,Victoria's Secret,Jax,6/30/2022,USAT22208037,"1,616",36.5,"161,267,092","28,607","7,345,512",62.0,"60,783,794","1,205,587","269,447","80,682,415","667,522,423","2,425,897,442",9.0,"234,760","1,543",2.0,"64,490",27.0,"71,491,331","56,598","1,800,837",,,1
1641,A La Antigüita,Vamos Bien,Calibre 50,2/5/2021,QM2EJ1500901,"1,636",36.2,"435,614,687","40,685","20,251,614",67.0,"611,062,174","2,855,683","451,172","67,870,968","823,863,869","6,950,165",28.0,"12,073",285,13.0,"1,824,707",28.0,"83,080,877","22,637",,"969,111",,0
1645,勇者,勇者,YOASOBI,9/29/2023,JPP302300523,"1,643",36.1,"84,848,838","10,799","2,566,936",71.0,"154,044,793","1,201,477",,"710,027","13,039,709","549,624,403",9.0,335,,1.0,"20,798",4.0,"141,300",,,"145,925",,0
1646,Índigo,Índigo,Camilo,10/13/2021,USSD12100733,"1,637",36.1,"270,580,897","31,024","10,428,322",60.0,"222,946,420","3,345,792","2,600,000","240,518,242","2,850,944,965","159,830,154",49.0,"38,074",456,14.0,"206,135",65.0,"5,334,090","2,745",,"953,695",,0
1648,Sarà Perché Ti Amo,Viva Italia,Esteriore Brothers,6/7/2024,DEUM72402667,"1,638",36.1,,,,,,,"49,400","3,245,137","53,345,786",,,,,,,,,,,,,0
