Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
240,Si No Estás,Si No Estás,iñigo quintero,9/22/2022,TCAGM2208561,241,100.1,"665,716,137","97,057","33,252,792",80.0,"358,206,246","2,896,698","2,900,087","216,927,444","2,653,383,273","862,779,648",33.0,"77,764",119,51.0,"27,583,086",60.0,"202,795","1,067","1,432,443","5,502,998",,0
243,Corazón de Piedra,Corazón de Piedra,Xavi,3/23/2024,USA2P2414894,244,98.8,"172,164,034","5,517","48,983,734",82.0,"117,450,205","1,103,003",,,,"135,952,492",11.0,"1,879",,7.0,"2,124,457",16.0,"9,152,713","1,759","1,136,588","418,366",,0
259,girls like me don't cry,girls like me don't cry,thủy,10/6/2022,QZLBC2200766,260,96.2,"69,931,412","13,220","8,876,286",61.0,"63,786,141","759,332","9,009,769","496,871,104","6,778,569,349","147,879",4.0,"4,180",29,,,15.0,"71,269",228,,"195,627",,0
279,La Víctima,La Víctima,Xavi,8/19/2023,USA2P2339944,280,92.0,"521,116,293","24,734","22,828,160",81.0,"427,625,497","2,560,068","33,444","11,882,123","107,781,205","1,392,579,416",18.0,"3,852",82,20.0,"14,503,583",22.0,"10,154,861","13,336",,"988,007",,1
287,Una Noche en Medellín,Una Noche en Medellín,Cris Mj,1/21/2022,QM4TW2218961,288,90.7,"839,405,565","107,431","27,444,811",75.0,"662,287,768","4,695,932","3,874,773","422,978,919","4,817,726,878","438,066,241",41.0,"29,848",601,19.0,"1,780,823",46.0,"8,328,637","7,361",,"2,351,019",,1
