Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
577,All About That Bass,Title (Deluxe),Meghan Trainor,1/1/2014,USSM11401317,573,63.6,"815,661,095","92,401","43,164,406",70.0,"2,725,121,387","10,672,692","423,870","58,123,781","620,379,145","649,286,436",130.0,"45,010",399,93.0,"464,181",43.0,"514,035,113","1,813,173",,"16,984,011",,1
585,On My Mama,JAGUAR II,Victoria Monét,6/16/2023,USRC12204025,582,63.1,"119,798,692","16,874","43,909,927",65.0,"57,621,851","673,949","52,478","14,376,748","138,101,105","286,698,611",55.0,"306,628",382,39.0,"8,198,464",78.0,"17,556,177","11,350","2,797,592","1,507,722",,1
605,Tá OK,Tá OK,DENNIS,5/4/2023,BRSME2300692,601,61.7,"333,339,751","41,237","24,980,357",69.0,"164,941,550","1,130,932","1,253,933","124,997,599","1,585,272,275","158,095,067",44.0,"6,589",135,67.0,"3,132,886",11.0,"183,192",334,,"1,174,062",,0
606,Cắt Đôi Nỗi Sầu,Cắt Đôi Nỗi Sầu,Tăng Duy Tân,9/28/2023,QZYHM2362070,602,61.6,"6,921,900","1,554","91,085",,"119,888,947","390,939","1,800,000","18,029,920","497,979,360","2,119,803",1.0,5,,,,,,,,"33,933",,0
613,Échame La Culpa,VIDA,Luis Fonsi,11/17/2017,USUM71712163,607,61.4,"935,042,457","92,728","21,057,073",68.0,"2,463,300,079","11,133,796","1,121,206","13,550,452","139,512,356","391,129,325",92.0,"81,252",,76.0,"175,283",36.0,"113,179,212","41,836",,"8,719,140",,0
627,GATÚBELA,GATÚBELA,KAROL G,8/26/2022,USUM72216070,623,61.0,"427,247,328","42,444","22,820,163",66.0,"547,409,394","3,332,851","333,197","26,378,245","275,273,861","708,455,030",38.0,"41,880",104,24.0,"6,138,492",41.0,"51,711,477","9,193",,"1,177,588",,0
629,Te Boté - Remix,Te Boté (Remix),Nio Garcia,1/1/2017,QM4TW1811888,625,60.9,"1,176,693,861","132,271","43,704,712",69.0,"2,570,135,916","11,563,688","749,700","18,965,802","254,943,718","304,845,333",84.0,"18,925",50,51.0,"1,787,985",,"252,140,479","178,669",,"8,825,164",,1
645,ULTRA SOLO,ULTRA SOLO,Polimá Westcoast,2/14/2022,CLPP22200004,642,59.7,"360,068,693","58,995","18,998,905",64.0,"149,041,400","1,103,249","4,984,600","450,591,101","4,865,262,796",,35.0,"18,457",,19.0,"138,088",19.0,"55,318",706,,"1,212,308",,0
649,Gangnam Style (강남스타일),Gangnam Style (강남스타일),PSY,1/1/2012,USUM71210283,647,59.6,"477,162,323","103,211","28,183,533",67.0,"5,849,588,091","31,460,015","146,609","64,279,161","578,660,460","288,553,687",93.0,"13,151",77,50.0,"208,246",21.0,,,,"7,977,546",,0
656,née-nah,american dream,21 Savage,1/10/2024,USSM12309168,652,59.4,"150,203,467","33,551","52,062,674",,"15,371,828","236,178",,,,"121,166,226",24.0,"18,531",4,12.0,"91,130",25.0,"3,682,246",903,,"467,115",,1
