Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2087,A Cara do Crime (Nós Incomoda),A Cara do Crime (Nós Incomoda),Mc Poze do Rodo,5/27/2021,BCM9A2100020,"2,076",31.6,"167,885,356","35,425","5,269,761",59.0,"623,156,045","4,494,258","62,871","2,554,504","35,359,820","196,485,248",14.0,4,,17.0,"257,093",7.0,,,,"288,490",,1
2089,"I P' ME, TU P' TE","I P' ME, TU P' TE",Geolier,2/7/2024,ITQ002400009,"2,079",31.6,"85,967,228","4,033","5,992,539",71.0,"55,372,624","370,683",,,,"615,937,940",14.0,"7,065",,2.0,"3,097,701",22.0,967,,,"162,032",,0
2094,Canın Sağ Olsun,Canın Sağ Olsun,Semicenk,4/21/2023,FRX282385759,"2,082",31.6,"141,252,425","15,291","5,154,828",69.0,"194,066,158","587,390","21,400","722,246","23,818,069","297,624,271",11.0,"7,224",,1.0,"1,566,667",,,,,"523,400",,0
2100,Jálale alv,Jálale alv,Bb trickz,5/2/2024,ES5022400953,"2,102",31.5,"23,649,304","1,089","13,373,487",73.0,"18,261,218","229,451","20,327","221,800","1,395,100","2,297,932",5.0,3,85,4.0,"27,568",,"15,096",85,"6,827","114,774",,0
2112,Si Estuviésemos Juntos,X 100PRE,Bad Bunny,12/23/2018,QM7281884729,"2,106",31.4,"893,876,704","86,788","30,501,893",75.0,"824,238,458","5,274,687","77,115","19,235,429","127,896,618","149,369,272",21.0,816,,10.0,"69,243",1.0,"62,373,085","9,719",,"1,305,163",,1
2115,El Perdón (with Enrique Iglesias),Fénix,Nicky Jam,11/20/2011,USSD11500005,"2,108",31.4,"869,024,663","91,687","30,002,977",69.0,"1,937,330,456","6,059,523","101,928","5,141,327","67,188,077","270,306,685",111.0,"53,221",78,69.0,"420,802",43.0,"489,534,594","237,999",,"6,946,052",,0
2129,Dancin' In The Country,Tyler Hubbard,Tyler Hubbard,8/19/2022,USUM72206481,"2,129",31.2,"142,607,318","17,721","11,539,344",67.0,"13,270,587","89,854","14,841","2,675,513","40,035,442",,28.0,"301,252",131,2.0,"89,250",26.0,"50,982,434","6,178",,"596,894",,0
2135,İlle De Sen,İlle De Sen,Muti,11/17/2023,TRCGH2300006,"2,132",31.2,"49,630,584","7,644","1,077,118",,"102,074,133","305,216","38,600","70,954","6,598,274","304,330,982",3.0,"1,611",,1.0,716,,,,,"182,499",,0
2152,BRAZILIAN DANÇA PHONK,BRAZILIAN DANÇA PHONK,6YNTHMANE,5/12/2023,QM6N22383605,"2,137",31.1,"185,914,923","28,387","19,122,650",72.0,"114,153,936","1,500,822",,,,"86,472,968",1.0,2,,2.0,"491,228",5.0,"313,124","1,606",,"1,114,212",,1
2170,ADIÓS,LA NENA DE ARGENTINA,Maria Becerra,12/8/2022,USAT22221820,"2,157",30.9,"172,082,938","15,951","6,701,830",66.0,"215,719,591","857,582","485,700","55,172,498","874,751,736","17,350,637",3.0,"11,867",456,8.0,"414,587",10.0,"196,984",127,"67,782","308,507",,1
