Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
8,Danza Kuduro - Cover,Club staple Western music - Bass enhanced -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1
23,TEXAS HOLD 'EM,COWBOY CARTER,Beyoncé,2/10/2024,USSM12401302,24,278.9,"426,700,979","34,044","152,928,632",86.0,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175","1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",,1
27,Baby Shark,Pinkfong Animal Songs,Pinkfong,12/1/2015,KRE671700001,28,265.7,"720,822,868","60,945","7,530,769",71.0,"16,322,756,555","48,757,673","7,743,800","281,762,094","6,577,639,193","2,166,611",33.0,284,142,19.0,"52,179",17.0,"86,458,847","2,234,137",,"2,064,420",,0
30,Danza Kuduro - Cover,OUCHIDE WORKOUT YOUGAKU SAISHIN RANKING,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,"1,645,079,292",,,,,,,,,,,,,,,,,,,,,1
41,Cupid - Twin Ver. (FIFTY FIFTY) - Sped Up Version,The Beginning,FIFTY FIFTY,4/8/2023,KRA252300672,42,211.2,"170,970,614","27,827","5,784,546",41.0,"22,280,037","334,523","14,348,249","948,225,544","12,196,985,599",,2.0,672,,4.0,"35,737",9.0,"270,610","3,170",,,,1
