Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
357,CONTIGO (with Tiësto),CONTIGO (with Tiësto),KAROL G,2/15/2024,USUG12400966,357,81.0,"162,165,853","10,306","87,901,542",85.0,"93,106,341","1,394,962",,,,"1,916,097,608",66.0,"46,348",53,45.0,"4,652,694",69.0,"11,091,776","1,611",179,"775,583",,0
358,Sequência da Dz7,Sequência da Dz7,TRASHXRL,5/8/2023,SGB502370315,358,80.8,"148,630,357","22,962","19,586,200",33.0,"61,652,249","723,007","3,757,654","145,382,546","2,299,851,479","1,136,738",3.0,1,,,,5.0,"42,656",,"5,607,466","423,570",,1
362,Lan,Lan,Zeynep Bastık,3/8/2024,TRAUR2400004,362,80.3,"81,246,715","4,073","6,852,706",72.0,"146,249,969","590,112",,,,"88,179,577",11.0,"5,899",,5.0,"1,585,206",,,,,"444,123",,0
381,The Business,The Business,Tiësto,9/16/2020,CYA112000624,381,78.3,"1,191,635,193","255,697","78,272,032",70.0,"539,885,283","4,027,102","777,092","73,955,191","1,435,552,956","462,516,169",362.0,"277,419",484,216.0,"3,941,324",41.0,"108,360,279","53,852","140,470","9,642,311",,0
400,I Don't Wanna Do This Anymore,Revenge,XXXTENTACION,5/16/2017,USUYG1142046,454,76.5,"564,444,844",5,20,,,,,,,,,,,,,,,,,,,1
401,Igual Que Un Ángel (with Peso Pluma),ORQUÍDEAS,Kali Uchis,1/12/2024,USUM72315072,400,76.3,"263,568,994","17,285","38,697,311",,"113,081,188","1,249,785",,"1,411,800","11,612,300","1,344,542,728",46.0,"22,110",6,58.0,"16,438,835",57.0,"2,451,926","3,216","965,916","1,017,370",,0
409,NUEVA VIDA,GÉNESIS,Peso Pluma,6/22/2023,QM7282306253,408,75.6,"253,464,894","22,779","10,733,622",76.0,"191,499,043","634,671","1,755,500","61,572,969","708,437,568","534,279,807",6.0,115,,4.0,"1,599,559",10.0,"22,214,240","5,494",,"781,164",,1
412,Beggin',Chosen,Måneskin,12/8/2017,ITB001700846,413,75.4,"1,601,293,263","358,760","75,186,063",79.0,"424,132,504","4,191,200","7,717,647","1,765,938,944","18,153,723,096","1,718,450,782",271.0,"478,458",784,168.0,"2,960,260",55.0,"63,838,488","75,382",,"14,404,336",,0
415,Hawái,PAPI JUANCHO,Maluma,7/29/2020,USSD12000190,415,75.3,"1,289,186,767","123,303","48,973,048",73.0,"1,464,055,196","7,754,280","729,784","9,309,533","131,926,571","371,508,169",201.0,"80,055",98,86.0,"5,370,315",99.0,"105,490,212","45,106",,"2,387,272",,0
436,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,11/18/2020,GBUM72005748,435,73.9,"1,151,629,030","201,783","55,679,157",77.0,"456,651,608","6,111,089","1,448,920","467,181,048","3,401,301,248","244,384,379",164.0,"173,512","1,303",63.0,"488,896",60.0,"53,202,036","41,954","18,082,840","6,239,619",,0
