Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1817,Danza Kuduro,Meet The Orphans,Don Omar,1/1/2010,USUM71020778,"1,809",34.2,"1,655,575,417","1,108","64,350",40.0,"1,498,854,054","6,607,472",9,371,"8,882","155,196,257",,,,,,,,,,,,0
1820,"She's Gone, Dance On","She's Gone, Dance On",Disclosure,5/29/2024,USA2P2420371,"1,813",34.2,"7,021,860","2,000","61,759,962",,"149,674","5,277",,"146,800","816,500",,52.0,"1,746",2,39.0,"2,175,560",41.0,"25,891",20,"189,590","40,920",,0
1821,วาสนาผู้ใด,วาสนาผู้ใด,Parkmalody,10/14/2023,TCAHL2371470,"1,804",34.2,"13,900,332","1,737","402,173",,"65,378,730","231,736","847,700","4,605,027","59,606,925","26,646,344",3.0,958,,,,,,,,"24,734",,0
1825,Corrido de Juan Armenta,Los Temas de Mis Películas,Vicente Fernández,5/27/2024,MXF012400279,"1,816",34.1,"68,134",3,138,,,,,,,,,,,,,,"10,721,923","6,628",,,,0
1838,La Intención,La Intención,Christian Nodal,1/26/2024,QZQPC2100130,"1,831",34.0,"119,369,458","5,866","19,272,195",,"38,415,068","389,722","43,600","16,305,600","171,858,600","315,995,610",18.0,"8,223",1,18.0,"103,202",25.0,"9,198,529","1,038",,"380,747",,0
1841,Volví,Volví,Aventura,8/3/2021,QMFME2168127,"1,833",34.0,"780,755,736","107,320","35,444,438",72.0,"89,683,527","493,296","30,301","6,103,064","49,294,071",,97.0,"39,183",129,25.0,"383,440",46.0,"69,320,555","14,510",,"1,804,089",,1
1843,Super,SEVENTEEN 10th Mini Album 'FML',SEVENTEEN,4/24/2023,USA2P2310675,"1,839",33.9,"210,481,840","14,690","8,191,208",67.0,"209,677,493","2,906,443","95,008","178,551,449","1,027,127,321","571,782,627",29.0,"3,674",27,5.0,"180,148",24.0,"645,104",601,,"491,972",,0
1852,LOOK DON'T TOUCH (w/ cade clair),LOOK DON'T TOUCH (w/ cade clair),Odetari,5/17/2023,QZVFR2301356,"1,848",33.8,"184,630,078","29,450","3,853,996",69.0,"63,500,291","813,255","66,100","15,513,962","102,841,979","69,529",2.0,4,,,,,"1,043,199","2,591","6,749,208","683,699",,1
1872,TUS LÁGRIMAS,MICRODOSIS,Mora,4/1/2022,QM4TX2252947,"1,862",33.7,"231,258,162","42,133","12,601,998",64.0,"143,774,447","773,465","1,754,800","79,825,538","760,223,916","317,485,352",27.0,"5,833",368,1.0,"46,161",20.0,"3,321,809",662,,"616,275",,1
1882,El Tóxico,El Tóxico,Grupo Firme,10/27/2020,QZDQH1906375,"1,877",33.6,"432,634,168","31,429","17,749,866",59.0,"699,174,305","2,537,896","128,548","12,531,029","168,805,311","19,333,484",16.0,"5,054",134,7.0,"6,081,112",38.0,"92,147,328","21,527",,"1,109,128",,0
