Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
3714,Me Enamoré,El Dorado,Shakira,1/1/2017,USSD11700088,"3,685",22.3,"388,986,035","32,035","11,367,243",61.0,"1,029,205,329","5,258,522","159,489","11,668,787","138,694,370","244,223,847",52.0,"17,126",33,41.0,"299,770",32.0,"65,068,313","26,099",,"3,095,680",,0
3715,Geri Dönemedim,Geri Dönemedim,Semicenk,5/5/2023,FRX452325278,"3,702",22.3,"111,150,894","11,465","6,557,932",67.0,"130,717,641","376,889","39,900","852,150","31,451,449","7,986,595",7.0,,,1.0,"1,089",,,,,"208,321",,0
3735,Balanço da Rede,Balanço da Rede,Matheus Fernandes,2/24/2022,BCDE52200008,"3,719",22.2,"237,867,475","19,268","14,221,320",61.0,"302,341,579","1,218,262",,,,"745,025,834",27.0,"5,145",,24.0,"378,419",10.0,,,,"151,448",,0
3749,MAÑANA SERÁ BONITO,MAÑANA SERÁ BONITO,KAROL G,2/23/2023,USUM72222550,"3,721",22.2,"132,811,353","12,970","4,805,498",66.0,"53,670,834","569,439","516,300","12,432,832","163,703,206",,9.0,"4,052",18,4.0,"79,090",20.0,"27,113,778","7,037",,"212,091",,0
3754,Puro Campeón,Puro Campeón,Grupo Marca Registrada,10/14/2022,USA2P2243895,"3,708",22.2,"162,996,272","20,521","5,076,875",61.0,"137,834,966","708,557","265,100","5,676,478","72,517,463",,5.0,47,,,,,"16,395,222","1,958",,"338,327",,0
3755,Esperándote,ADN,Manuel Turizo,12/7/2017,USQX91702666,"3,729",22.2,"333,106,545","25,970","7,253,202",59.0,"982,437,656","2,944,717","81,315","3,138,449","37,754,097","200,120,108",18.0,"3,327",,11.0,"140,309",8.0,"35,770,201","4,370",,"1,055,124",,0
3769,Coladin (Minha Deusa),Indícios,Zé Vaqueiro,10/27/2022,BCZZV2200032,"3,760",22.1,"68,110,254","5,563","9,739,787",62.0,"220,238,857","1,027,402","293,100","10,599,831","175,981,880","203,704,889",13.0,35,,25.0,"498,753",2.0,678,,,"71,663",,0
3774,Joli bébé,Gros bébé,Naza,9/11/2020,FRX762022181,"3,755",22.1,"131,677,140","35,653","2,205,297",57.0,"198,494,925","1,095,673","1,502,712","37,799,046","559,416,339","7,459,129",28.0,"8,632",,13.0,"168,510",2.0,"3,269",,"302,899","1,009,225",,1
3781,Maybe You're The Problem,Diamonds & Dancefloors,Ava Max,4/28/2022,USAT22203651,"3,761",22.1,"181,659,395","24,137","10,925,511",62.0,"50,640,948","470,130","7,766","5,336,041","87,012,707","2,764,048,939",53.0,"186,049",732,29.0,"602,060",12.0,"3,213,326","1,247",,"1,366,573",,0
3793,Mélanine,Mélanine,Heuss L'enfoiré,5/3/2024,FRPZ92417040,"3,786",22.0,"14,500,608","1,528","6,768,397",71.0,"7,766,177","77,814",,,,,18.0,784,,16.0,"18,340,167",20.0,,,,"201,571",,1
