Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1099,CORAZÓN VACÍO,CORAZÓN VACÍO,Maria Becerra,6/22/2023,USWL12301086,"1,094",45.8,"251,442,618","19,913","23,463,750",71.0,"209,201,810","958,198","249,263","61,634,866","541,965,678","650,020,478",23.0,"16,628",354,20.0,"635,145",53.0,"188,360",75,,"209,753",,0
1108,PRINCESITA DE ...,ÉNFASIS,Jere Klein,12/1/2023,QMFMF2334329,"1,103",45.5,"106,290,197","11,766","9,230,911",70.0,"139,655,492","229,044",,7,245,"1,565,966,519",4.0,388,,3.0,"122,602",,"85,692",48,,"195,908",,1
1130,Me Rehúso,54+1,Danny Ocean,11/3/2017,USWL11900076,"1,126",44.8,"1,778,934,858","37,040","21,117,726",74.0,"1,915,123,572","6,102,709","261,323","17,109,874","158,762,431","484,024,351",12.0,165,,9.0,"21,285",10.0,"66,752,966","47,350",,"6,246,243",,0
1149,Feel It - From The Original Series “Invincible”,Feel It (From The Original Series “Invincible”),d4vd,3/28/2024,USUM72401132,"1,140",44.5,"110,377,644","8,980","78,939,536",,"10,803,398","190,363",,"554,400","4,211,900","21,866,966",41.0,"6,146",44,54.0,"6,402,152",55.0,"658,798",745,,"363,083",,0
1168,Dandini Dandini Dastana,"Hey Dostum, Çak!",Derya Yildirim,2/10/2023,DEE882214257,"1,165",44.0,"12,750",8,137,9.0,"520,926,927","1,601,560",,,,,,7,,,,,,,,186,,0
1183,Otro Trago,Sueños,Sech,4/18/2019,QM9WM1900120,"1,172",43.8,"693,061,510","73,605","21,529,712",63.0,"1,315,371,330","9,042,596","263,379","6,844,512","81,046,643","278,722,746",56.0,"11,331",30,9.0,"344,693",38.0,"80,895,090","47,467",,"3,179,632",,1
1185,Jugaste y Sufrí,Corta Venas,Eslabon Armado,12/18/2020,USE7D2000268,"1,182",43.7,"492,509,763","83,013","10,228,918",70.0,"420,395,103","3,706,590","144,000","92,852,948","624,633,508","3,613,322",17.0,244,,2.0,156,13.0,"21,099,906","32,737","33,569,805","2,849,462",,0
1197,Volvi,GinaYei:#Con todo el Corazon y mas,Didi Romero,1/11/2023,QZTJ32100010,"1,192",43.4,"47,586",60,"2,805",,"543,509,003","3,372,617",,,,"560,891,372",,,,,,,,,,136,,0
1215,Ya Supérame (En Vivo),Ya Supérame (En Vivo),Grupo Firme,8/13/2021,QZDQH2148787,"1,210",43.0,"347,218,974","34,933","16,279,085",57.0,"662,346,628","2,983,631","163,723","31,953,097","394,751,759","59,180,203",23.0,"9,924",312,2.0,"6,546",38.0,"76,029,663","61,601",,"1,337,426",,0
1228,Medallo,Hecho En Medellín,Blessd,10/27/2021,COA6W2102282,"1,224",42.8,"452,087,681","66,494","24,042,564",65.0,"509,694,751","2,049,523","244,300","59,474,554","754,567,803","367,804,074",53.0,"31,265",145,13.0,"1,704,398",13.0,"5,561,332","3,809",,"1,414,880",,1
