Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
4548,Por Fin Te Encontré,Por Fin Te Encontré,Cali Y El Dandee,9/24/2015,ES5701500670,"4,501",19.6,"395,303,355","39,270","14,763,690",65.0,"1,089,620,434","2,743,125","21,780","3,185,623","32,115,493","302,248,235",73.0,"4,454",3,37.0,"47,436",1.0,"27,829,677","7,930",,"2,686,409",,0
4553,LOS PITS,nadie sabe lo que va a pasar mañana,Bad Bunny,10/13/2023,QMFME2364193,"4,512",19.6,"74,331,462","17,357","2,290,183",,"16,756,062","212,522",,"226,891","3,288,335",,4.0,100,,,,,"2,129,023",446,,"136,101",,1
4560,Supera,Supera,Marília Mendonça,3/5/2021,,"4,552",19.5,,2,4,,"580,802,207","3,484,299",,,,"468,797,231",,,,,,,,,,,,0
4565,B.S. (feat. H.E.R.),Chilombo,Jhené Aiko,3/6/2020,USUM72003259,"4,539",19.5,"246,615,679","39,348","8,259,352",63.0,"144,344,028","1,222,484","51,304","8,958,777","66,918,543","22,728,307",56.0,"140,835",81,11.0,"480,752",53.0,"144,189,603","36,797",,"1,326,441",,1
4586,Bodak Yellow,Invasion of Privacy,Cardi B,4/6/2018,USAT21701762,"4,556",19.5,"8,402",4,33,,"1,152,050,786","8,477,904",,,,"293,911,862",,,,,,,,,,,,0
4589,Dayanamıyorum,Dayanamıyorum,Kerim Araz,3/6/2023,FR96X2303731,"4,534",19.5,"42,735,162","6,811","879,077",56.0,"152,880,323","477,528","75,900","1,929,069","55,394,779","211,372,872",4.0,"2,043",,,,,,,,"602,369",,0
4592,3 Haselnüsse,3 Haselnüsse,Jaques Raupé,12/1/2023,DEN062300845,"4,595",19.4,"25,822,176","15,387","2,650,670",,"7,041,124","127,998","4,034","1,858,466","31,061,916","48,311,550",8.0,250,,9.0,"163,999",1.0,,,"33,508","312,177",,0
4594,далеко (большой Бушизм) [prod. by wex & heysubr],далеко (большой Бушизм) [prod. by wex & heysubr],BUSHIDO ZHO,5/3/2024,RUB422401359,"4,599",19.4,"5,092,789",685,"185,936",62.0,"10,423,004","288,976",,"3,635","27,800",,7.0,,,,,,,,,"251,996",,1
4599,Me Acostumbre (feat. Bad Bunny),Me Acostumbre (feat. Bad Bunny),Arcángel,4/11/2017,USB271700107,"4,593",19.4,"255,740,653","32,138","14,066,526",64.0,"866,300,755","3,826,829","78,000","10,055,461","70,196,388","175,831,376",11.0,"2,083",,4.0,"127,479",4.0,"69,006,739","11,320",,"767,006",,1
