Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1295,Tiroteo - Remix,Tiroteo (Remix),Marc Seguí,4/1/2021,USWL12100143,"1,288",41.5,"654,941,874","83,163","29,637,614",75.0,"556,407,060","2,672,779","97,077","17,542,951","187,609,192","19,169,168",65.0,"26,498",15,34.0,"347,762",22.0,"335,231","2,375","457,443","2,646,335",,0
1303,Basit Numaralar,Basit Numaralar,Zerrin Özer,8/4/2023,TRBTU2300129,"1,299",41.3,"57,370,965","7,149","2,238,082",58.0,"215,435,066","698,761","203,800","7,122,446","297,307,993","292,835,488",8.0,"10,610",,2.0,"1,567,770",,,,,"714,127",,0
1316,I Don't Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,ZAYN,12/9/2016,USQ4E1602586,"1,312",41.1,"1,662,288,901","129,306","54,219,735",75.0,"1,049,659,880","9,224,750","171,618","1,982,231","6,028,763","508,689,201",130.0,"33,652",22,72.0,"721,612",29.0,"305,499,151","225,474","1,739,764","11,706,559",,0
1338,Džanum,Džanum,Teya Dora,3/22/2023,FRX202362720,"1,332",40.7,"125,289,731","25,929","2,777,533",65.0,"150,869,846","2,405,158","311,288","69,237,529","855,679,980","2,968,009",20.0,"1,302",,5.0,"2,700",,,,,"6,583,285",,0
1345,Marlboro Remix,Marlboro Remix,Trois Officiel,4/18/2024,QZGLS2484890,"1,343",40.6,,,,,,,,,,,,,,,,,,,,"504,979",,0
1372,'Til You Can't,Human The Double Album,Cody Johnson,6/11/2021,QMCQK1900137,"1,364",40.1,"258,769,609","48,619","12,448,112",68.0,"145,224,400","822,234","91,112","11,065,564","116,117,655","629,045,388",37.0,"332,754",146,2.0,,29.0,"177,004,719","37,010","5,157,422","1,449,353",,0
1381,LA NOCHE DE ANOCHE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,11/27/2020,QMFME2066840,"1,376",39.9,"990,189,999","120,639","37,168,821",71.0,"354,318,464","2,521,106","183,400","27,563,213","229,672,086","4,102,070",134.0,"34,273",81,71.0,"2,794,787",49.0,"87,824,752","17,737",,"1,742,777",,0
1396,เมร่อน,เมร่อน,Juepak,4/6/2024,THMOB2412776,"1,393",39.7,"4,399,533",337,"177,125",,"62,161,614","526,409",,,,,3.0,115,,,,,,,,"15,119",,0
1406,FINA,nadie sabe lo que va a pasar mañana,Bad Bunny,10/13/2023,QMFME2364183,"1,398",39.6,"226,576,178","32,219","19,829,075",78.0,"37,510,571","455,214","4,562","10,845,422","92,737,977","29,122",31.0,"3,898",67,13.0,"661,964",11.0,"5,226,528","1,565",,"335,905",,1
1415,Novo Balanço,Dos Prédios Deluxe,Veigh,5/19/2023,QZMWW2396002,"1,408",39.4,"258,439,807","33,493","8,747,668",69.0,"175,669,334","1,312,815",,,,"19,051,961",16.0,,,18.0,"550,977",18.0,,,,"237,669",,1
