Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
968,Pobre Corazón - En Vivo,Pobre Corazón (En Vivo),Ke Personajes,3/2/2023,QZN882353309,965,49.2,"187,127,704","18,938","5,235,073",65.0,"425,484,500","857,540","8,176","2,607,049","30,085,568","188,119,455",8.0,"5,686",,5.0,"349,806",7.0,,,,"432,240",,0
987,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,2/16/2018,USWL11700238,983,48.7,"667,508,675","78,737","29,292,148",61.0,"1,001,147,152","7,847,053","7,162,351","628,778,954","8,778,203,835","433,920,815",97.0,"36,727",152,63.0,"323,404",41.0,"12,798,124","11,917",,"8,994,016",,0
988,Ateşe Düştüm,Ateşe Düştüm,Mert Demir,9/22/2023,USA2P2346453,984,48.7,"98,395,711","14,727","3,591,657",,"198,114,786","880,794",,"3,300,292","84,398,578","107,323,281",10.0,"11,952",,2.0,"1,567,756",,,,,"1,134,279",,0
1002,Se Preparó,Odisea,Ozuna,8/10/2017,USXDR1700552,997,48.1,"846,909,112","81,897","37,257,314",73.0,"2,003,507,626","8,554,387","357,129","31,889,859","259,122,341","265,630,619",50.0,"11,560",115,18.0,"197,244",32.0,"202,338,087","58,208",,"2,526,044",,0
1004,Leão,Decretos Reais,Marília Mendonça,12/8/2022,BRWNV2200185,999,48.0,"415,752,953","20,588","32,327,663",66.0,"423,072,409","2,136,310","318,300","58,453,253","754,580,262","1,139,343,976",26.0,"8,809",,55.0,"7,373,693",13.0,"14,151",29,,"280,389",,0
1016,"Ay, DiOs Mío!",KG0516,KAROL G,7/10/2020,USUM72013593,"1,016",47.7,"599,215,039","57,051","16,707,832",61.0,"834,762,162","5,130,805","2,265,527","71,390,703","779,241,131","38,462,285",111.0,"26,349",168,25.0,"244,418",33.0,"54,177,152","13,881","2,842,552","1,362,793",,0
1020,可愛くてごめん,可愛くてごめん,HoneyWorks,11/21/2022,JPX402200183,"1,014",47.7,"23,191,929","5,912","438,018",51.0,"128,703,160","1,112,327","3,400,886","499,324,989","6,284,732,144","80,772,548",3.0,80,,,,6.0,"46,380",60,,"188,814",,0
1021,Tubarão Te Amo,Tubarão Te Amo,Dj LK da Escócia,9/28/2022,BC91N2200001,"1,013",47.7,"150,177,750","30,142","13,282,269",59.0,"153,683,754","1,673,637","2,700,000","1,300,234,701","15,253,039,012","6,064,515",9.0,151,281,28.0,"89,832",10.0,"64,326",340,,"1,072,415",,1
1025,II MOST WANTED,COWBOY CARTER,Beyoncé,3/27/2024,USSM12402717,"1,022",47.5,"76,870,736","5,252","32,501,444",,"6,424,033","126,715",,,,"200,314,697",76.0,"35,701",23,83.0,"6,321,279",64.0,"4,488,447","1,755","176,006","286,217",,0
1033,Lean On (feat. MØ & DJ Snake) - J Balvin & Farruko Remix,Lean On (feat. MØ & DJ Snake) - J Balvin & Farruko Remix,DJ Snake ♦ Major Lazer ♦ MØ,9/4/2015,FR6P11501180,"1,030",47.4,"53,822,187","2,081","465,455",,"3,617,929,617","17,418,989",,37,956,"1,393,748,323",,,,1.0,234,,,,,,,0
