Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
3117,نف(ق)س,What We Talk About: Nâr,NÂR,12/13/2022,CHF432200041,"3,109",24.8,"2,375",4,234,2.0,"341,933,075","2,997,158",,,,,,4,,,,,,,,,,0
3118,La Mamá de la Mamá,SAGITARIO,El Alfa,4/8/2021,USCGJ2190595,"3,114",24.8,"235,729,934","64,455","9,128,985",67.0,"50,135,254","444,622","1,307,941","285,423,960","2,710,660,328",,17.0,"8,349",28,1.0,"8,291",7.0,"24,518,275","26,630",,"2,462,313",,1
3120,Bật Tình Yêu Lên,Bật Tình Yêu Lên,Tăng Duy Tân,2/14/2023,QZWBE2305157,"3,095",24.8,"15,832,405","2,361","159,112",51.0,"68,240,319","287,155","1,400,000","14,528,206","515,579,710","2,119,803",2.0,15,,,,,,,,"38,813",,0
3135,EL TONTO,EL DRAGÓN,Lola Indigo,4/13/2023,ESUM72200152,"3,122",24.7,"153,105,498","29,888","12,288,087",63.0,"47,288,100","290,046","168,400","22,898,965","286,515,216","10,261,483",31.0,"12,333",,19.0,"162,668",23.0,"2,969",7,,"361,203",,0
3137,Friend of a Friend,Friend of a Friend,Mélodieux,3/28/2023,GX4LG2101513,"3,126",24.7,,5,"6,700",,"274,862,350","604,907",,,,"26,664,062",,8,,,,,,,,12,,1
3149,PARTIDO EN DOS,PARTIDO EN DOS,La Única Tropical,2/24/2024,ES71G2405104,"3,155",24.6,"10,459,553",360,"1,242,873",65.0,"53,298,480","230,317",,,,"2,812,991",2.0,"2,012",,1.0,"26,058",,,,,"93,465",,0
3161,Saiyan,Chef D'orchestre,Heuss L'enfoiré,6/2/2023,FR1DC2300200,"3,137",24.6,"107,498,014","21,969","4,562,733",61.0,"72,443,764","387,673",,182,"3,247","196,303,575",15.0,"9,237",,12.0,"4,938,235",21.0,,,"395,699","878,245",,1
3163,París,KITSUNE,Ingratax,7/9/2021,MXB952100097,"3,142",24.6,"526,025,120","46,184","9,102,818",67.0,"160,959,114","2,763,162","1,041,041","242,823,183","2,209,200,556","20,176,409",36.0,"4,952",,2.0,"9,765",20.0,"2,469,664","1,944",,"819,536",,0
3187,Pégate,Pégate,Standly,1/3/2022,US7VG2202994,"3,168",24.5,"241,291,389","32,449","5,276,793",67.0,"297,484,348","1,868,447","100,700","31,243,366","308,712,763","93,932,990",4.0,942,,2.0,"12,175",10.0,,,,"365,242",,0
3189,Ya Te Superé,Ya Te Superé,Xavi,5/18/2024,USA2P2428771,"3,174",24.5,"11,107,400",614,"35,459,248",,"10,855,044","227,373",,,,,5.0,,,3.0,"293,379",10.0,"319,500",77,,"41,829",,0
