Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
292,Bênçãos Que Não Têm Fim (Counting My Blessings),Bênçãos Que Não Têm Fim (Counting My Blessings),Isadora Pompeo,11/9/2023,BRSME2301957,293,89.6,"95,536,146","8,900","9,760,374",,"143,810,663","1,507,763","1,800,000","44,077,311","711,024,077","890,790,802",16.0,88,,51.0,"7,385,831",7.0,,,,"229,561",,0
303,Calma - Remix,Calma (Remix),Pedro Capó,10/5/2018,USSD11800343,303,87.2,"1,153,753,974","118,846","37,335,160",67.0,"2,890,512,374","13,572,964","1,847,640","11,391,899","124,640,416","374,564,231",152.0,"57,934",7,77.0,"859,903",2.0,"168,274,012","88,107",,"14,113,990",,0
311,Cool,JnD Mix,,5/25/2024,QZNWQ2410638,311,86.5,,,,,,,,,,,,,,,,,,,,"8,624,577",,0
313,BESO,RR,ROSALÍA,3/24/2023,USSM12301258,313,86.3,"647,201,484","81,393","46,208,549",74.0,"186,060,248","1,524,559","946,380","131,649,631","1,792,090,770","28,857,204",117.0,"106,591",277,80.0,"4,935,799",65.0,"20,360,773","4,829","113,549","1,589,528",,0
314,MTG QUEM NÃO QUER SOU EU,MTG QUEM NÃO QUER SOU EU,DJ TOPO,5/10/2024,BXIV82456543,315,86.1,"51,198,446","3,022","40,425,173",80.0,"14,990,394","244,589","245,300",,,,8.0,48,,29.0,"9,552,072",20.0,,,,"128,880",,0
344,kompa pasión,kompa pasión,фрози,4/12/2024,USUS12400227,345,82.5,"29,458,027","2,602","6,588,032",78.0,"8,529,869","225,779","439,200","8,820,761","87,680,200","154,517",9.0,132,,6.0,"73,462",,,,"365,682","2,085,595",,0
345,Qué Agonía,Pa' Luego Es Tarde,Yuridia,10/20/2022,MXF012200200,343,82.5,"394,381,902","22,919","12,262,540",73.0,"805,683,907","2,076,505","998,663","48,461,089","847,830,213","14,566,260",24.0,"25,712","1,169",18.0,"2,340,656",15.0,"14,271,775","11,420",,"1,353,588",,0
351,アイドル,アイドル,YOASOBI,4/12/2023,JPP302300157,351,81.8,"356,559,943","47,785","12,078,942",69.0,"490,408,465","4,295,510","504,800","162,429,655","1,871,819,472","1,227,624,888",59.0,"1,883",,7.0,"44,834",12.0,"540,614",419,,"804,248",,0
352,L'AMOUR DE MA VIE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401990,352,81.6,"84,575,291","5,186","51,449,432",85.0,"11,080,040","346,121",137,,,"3,541,236",95.0,271,1,19.0,"2,682,503",18.0,"183,562",231,"749,185","214,747",,0
353,Thinkin' Bout Me,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300821,353,81.5,"406,319,778","42,283","16,439,412",80.0,"84,066,193","368,256","117,408","7,626,726","99,492,470","606,650,627",50.0,"262,596",145,2.0,"2,456",19.0,"181,953,005","27,501","7,289,828","1,185,776",,0
