Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
2288,Palhaça - Ao Vivo,Palhaça (Ao Vivo),Naiara Azevedo,1/12/2023,BX8WE2200062,"2,271",30.0,"149,801,910","10,235","8,902,883",58.0,"296,057,090","899,154",,,,"787,165,088",4.0,"1,846",,24.0,"167,705",9.0,,,,"103,032",,0
2292,BABY NUEVA,nadie sabe lo que va a pasar mañana,Bad Bunny,10/13/2023,QMFME2364191,"2,283",30.0,"118,835,954","23,373","9,125,370",,"29,487,901","386,863","40,400","4,048,330","37,952,552",,5.0,954,,,,3.0,"6,977,653","1,304",,"399,333",,1
2293,قولوا ما شاء الله,قولوا ما شاء الله,حورية برعى,12/8/2022,DGA082213263,"2,279",30.0,"468,162",114,"21,665",24.0,,,"2,500,000","5,971,244","183,524,720",,,,,,,,,,,"95,147",,0
2297,Happier,÷ (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700028,"2,287",29.9,"1,322,385,342","109,373","54,954,226",70.0,"696,425,510","4,649,149","1,289,662","34,964,865","223,959,183","137,582,931",37.0,"36,265",6,29.0,"310,000",27.0,"170,123,227","113,215",,,,0
2316,Zapateado Encabronado #3,Nuestra Historia de Voces Edición de Oro 25 años,Alacranes Musical,3/22/2024,GBLFP2486472,"2,300",29.8,"12,495,358",5,17,,,,,,,,,,,,,,"16,357,353","46,235",,,,0
2317,Ain't That Some,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300807,"2,302",29.8,"210,072,827","30,503","5,318,773",74.0,"35,281,929","221,683","54,106","6,277,486","92,174,906","91,240,010",8.0,"2,055",,,,2.0,"61,861,012","13,426","3,550,321","172,414",,1
2318,I Am Your Gummy Bear (The Gummy Bear Song),I Am Your Gummy Bear,Gummibär,1/1/2007,USR3R0700073,"2,307",29.8,"104,073,182","11,904","1,660,833",57.0,"3,982,526,341","11,455,880","384,946","83,486,676","1,565,261,998","54,565,314",4.0,,,2.0,"3,494",3.0,,,"3,120,738","648,232",,0
2320,Te Felicito,"Unas Mías y Otras Prestadas, Vol. 2",Gerardo Coronel,11/11/2022,QZDQH2204268,"2,308",29.8,"136,999,598","2,515","1,614,193",57.0,"352,276,536","848,233",,,,"38,327,211",2.0,"4,630",,,,1.0,,,,"772,708",,0
2329,¿Cómo Pasó?,¿Cómo Pasó?,Ela Taubert,2/14/2024,USUM72400711,"2,324",29.7,"61,288,751","3,662","17,901,827",,"41,942,760","443,004",,,,"17,589,313",10.0,"3,666",,15.0,"331,202",15.0,"73,018",166,,"610,292",,0
2341,Se Le Ve,Se Le Ve,Dímelo Flow,8/12/2021,QM9WM2100063,"2,332",29.6,"240,138,585","43,572","11,285,970",56.0,"200,632,603","1,367,067","1,845,758","267,131,680","3,307,238,247","67,529,333",34.0,"7,909",,7.0,"33,136",2.0,"1,857,076","1,135","601,959","601,506",,1
