,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,love,hurt,goodbye,friend,hopeless,memory,play,sad
509,Gasoline,The Weeknd,1,2022,1,7,2.297,0,116.903579,11,29,0.014,0,0,123,F#,Minor,74,35,73,0,0,21,5,0.7972967,0.7952373,0.8560849,0.7846339,0.8186414,0.73568404,0.76252204,0.7412416
510,Infinity,Jaymes Young,1,2017,6,23,4.375,0,888.046992,24,0,0.396,0,0,122,B,Minor,67,50,67,15,0,30,4,0.7535984,0.8771102,0.78989387,0.774827,0.49533963,0.71674114,0.8501441,0.8652931
511,Less Than Zero,The Weeknd,1,2022,1,7,2.8,0,200.660871,18,77,0.061,0,1,143,,Major,53,50,79,0,0,8,3,0.90036666,0.9141452,0.92070794,0.87475425,0.7142345,0.894646,0.9251427,0.91665566
512,Take My Breath,The Weeknd,1,2021,8,6,2.597,0,130.655803,17,80,0.038,0,0,121,A#,Minor,70,35,77,1,0,26,4,0.7437656,0.7796163,0.78324056,0.81171405,0.8997261,0.8014532,0.7987511,0.8586361
513,good 4 u,Olivia Rodrigo,1,2021,5,14,15.563,6,1887.039593,259,55,0.461,1,,166,F#,Minor,56,68,66,28,0,11,18,0.59225285,0.617331,0.57475495,0.52977836,0.683755,0.6796772,0.61561036,0.6041812
514,"Here We Go... Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator",3,2022,1,7,1.42,0,88.103848,7,18,0.007,0,,135,C#,Major,41,27,64,36,0,60,3,0.97461903,0.8860569,0.90240896,0.89765835,0.9286171,0.93034625,0.8227028,0.9332372
515,Best Friends,The Weeknd,1,2022,1,7,1.292,0,101.114984,3,18,0.014,0,0,87,E,Minor,49,49,59,44,0,35,21,0.6236198,0.8342068,0.7066213,0.4134273,0.84241647,0.7757224,0.8954597,0.8459996
516,Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15.867,0,1575.467011,382,65,0.497,0,12,111,G#,Major,77,74,66,30,0,13,3,0.81215847,0.8720421,0.87641346,0.8754188,1.0826584,0.91456115,0.853281,0.9767745
517,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1.178,0,91.656026,9,10,0.009,0,0,110,D,Major,75,85,84,10,0,31,19,0.82471573,0.892142,0.84420145,0.8774419,0.95978576,1.0023212,0.8283265,0.9413403
518,Need To Know,Doja Cat,1,2021,6,11,6.672,0,1042.568408,125,36,0.15,0,,130,C#,Major,66,19,61,30,0,9,7,0.6738448,0.7447678,0.8558548,0.69998586,0.7840762,0.7219095,0.7867424,0.79949397
519,MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12.329,0,1735.441776,275,19,0.738,0,,179,G#,Minor,61,76,51,30,0,38,15,0.787951,0.79240686,0.87800944,0.76329887,0.8707104,0.77416754,0.7950585,0.8666848
520,love nwantiti (ah ah ah),Ckay,1,2019,7,26,5.669,2,726.837877,74,0,0.262,14,,93,F,Minor,74,53,73,61,0,13,4,0.46935517,0.77362955,0.68942773,0.65351546,0.77357984,0.77343464,0.76463556,0.7475208
521,Dawn FM,The Weeknd,1,2022,1,7,0.811,0,53.933526,1,8,0.006,0,0,78,A,Minor,27,10,49,62,0,49,5,0.78965837,0.8662368,0.8330981,0.81565183,0.8864082,0.7960838,0.8119579,0.87127805
522,Surface Pressure,Jessica Darrow,1,2021,11,19,1.756,0,267.758538,38,48,0.02,0,0,180,D,Major,65,37,58,2,0,4,31,0.8171626,0.8345167,1.0166692,0.87847483,0.92860216,0.8495569,0.8826594,0.8798335
523,Starry Eyes,The Weeknd,1,2022,1,7,1.014,0,74.601456,1,17,0.011,0,0,86,A,Minor,28,13,41,50,0,19,3,0.78166926,0.8383163,0.8599193,0.8248482,0.71989965,0.80467755,0.8796675,0.78798014
