,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,love,hurt,goodbye,friend,hopeless,memory,play,sad
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,0.553,147,141.381703,43,263,0.045,10,826,125,B,Major,80,89,83,31,0,8,4,0.84974146,0.8622067,0.8800432,0.90974075,0.92043346,0.92970425,0.8050591,0.86263794
1,LALA,Myke Towers,1,2023,3,23,1.474,48,133.716286,48,126,0.058,14,382,92,C#,Major,71,61,74,7,0,10,4,0.6269417,0.7565444,0.76805305,0.74287486,0.8030943,0.7590115,0.6281964,0.78020746
2,vampire,Olivia Rodrigo,1,2023,6,30,1.397,113,140.003974,94,207,0.091,14,949,138,F,Major,51,32,53,17,0,31,6,0.6403841,0.6796781,0.7291859,0.589612,0.56147635,0.67559093,0.6540761,0.68974197
3,Cruel Summer,Taylor Swift,1,2019,8,23,7.858,100,800.840817,116,207,0.125,12,548,170,A,Major,55,58,72,11,0,11,15,0.7975379,0.8060436,0.8813531,0.8437824,0.8318409,0.8993025,0.9183923,0.76862526
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3.133,50,303.236322,84,133,0.087,15,425,144,A,Minor,65,23,80,14,63,11,6,0.76120436,0.7974045,0.7973161,0.7917647,0.8339019,0.83741325,0.75379485,0.8107269
5,Sprinter,"Dave, Central Cee",2,2023,6,1,2.186,91,183.706234,67,213,0.088,17,946,141,C#,Major,92,66,58,19,0,8,24,0.8532654,0.9021648,0.93507105,0.74470484,0.7789827,0.7345104,0.7762054,0.8098998
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3.09,50,725.980112,34,222,0.043,13,418,148,F,Minor,67,83,76,48,0,8,3,0.8159309,0.9160782,0.84417933,0.8794505,0.8822088,0.92071056,0.84342957,0.92884195
7,Columbia,Quevedo,1,2023,7,7,0.714,43,58.149378,25,89,0.03,13,194,100,F,Major,67,26,71,37,0,11,4,0.72499216,0.7930282,0.79439986,0.7688165,0.7909806,0.73296714,0.8080177,0.79014194
8,fukumean,Gunna,1,2023,5,15,1.096,83,95.217315,60,210,0.048,11,953,130,C#,Minor,85,22,62,12,0,28,9,0.622256,0.67015344,0.697219,0.5236844,0.65994346,0.5968021,0.61828613,0.66457677
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2.953,44,553.634067,49,110,0.066,13,339,170,D,Minor,81,56,48,21,0,8,33,0.8003753,0.97521985,0.88634646,0.87091154,0.9360313,0.8549867,0.84098315,0.9274142
10,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2.876,40,505.671438,41,205,0.054,12,251,83,F#,Minor,57,56,72,23,0,27,5,0.6938566,0.65597326,0.7781122,0.5788726,0.7121415,0.7124276,0.6543976,0.7283367
11,Super Shy,NewJeans,1,2023,7,7,0.422,55,58.25515,37,202,0.021,5,168,150,F,Minor,78,52,82,18,0,15,7,0.7696745,0.77776206,0.76136035,0.76911753,0.6952177,0.7349359,0.815964,0.7348467
12,Flowers,Miley Cyrus,1,2023,1,12,12.211,115,1316.855716,300,215,0.745,58,,118,,Major,71,65,68,6,0,3,7,0.53691834,0.71947765,0.7187034,0.67804205,0.75853175,0.73567295,0.6498769,0.6843727
13,Daylight,David Kushner,1,2023,4,14,3.528,98,387.570742,80,156,0.182,24,,130,D,Minor,51,32,43,83,0,9,3,0.6629313,0.75480807,0.7750436,0.69718933,0.7631512,0.7416749,0.71243525,0.76410794
14,As It Was,Harry Styles,1,2022,3,31,23.575,130,2513.188493,403,198,0.863,46,,174,F#,Minor,52,66,73,34,0,31,6,0.7386178,0.7678161,0.7827787,0.7487714,0.76628274,0.7814559,0.7614256,0.7433919
15,Kill Bill,SZA,1,2022,12,8,8.109,77,1163.093654,183,162,0.161,12,187,89,G#,Major,64,43,73,5,17,16,4,0.81227916,0.7336636,0.8021267,0.81675655,0.9087315,0.88137573,0.7763792,0.87691593
16,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2.942,77,496.795686,91,212,0.078,6,0,120,B,Minor,78,76,59,43,0,34,3,0.78066933,0.96844226,0.9487949,0.8405919,0.9057605,1.0161179,0.9243765,0.90597826
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,0.873,104,30.546883,80,227,0.095,24,,78,,Major,44,14,9,96,0,10,3,0.90977466,0.8859337,0.9868617,0.9289771,0.9637536,0.9175899,0.9106319,0.92357635
18,Classy 101,"Feid, Young Miko",2,2023,3,31,2.61,40,335.222234,43,100,0.054,14,187,100,B,Major,86,67,66,14,0,12,16,0.8306077,0.785254,0.85579836,0.74010694,0.82427603,0.79422843,0.8348701,0.777911
19,Like Crazy,Jimin,1,2023,3,24,0.596,68,363.369738,8,104,0.023,2,29,120,G,Major,63,36,73,0,0,36,4,0.67804086,0.79769546,0.7571838,0.7973373,0.70427924,0.800611,0.82522285,0.7713791
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,0.332,26,86.444842,11,163,0.01,4,0,140,F,Minor,65,87,74,22,0,42,4,0.6817204,0.8226901,0.7472096,0.7277043,0.8989519,0.80992275,0.7441961,0.8445989
21,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,1,2023,7,7,0.516,38,52.135248,73,119,0.042,1,,123,F#,Major,69,82,76,6,0,6,3,0.92436767,0.92671806,0.9099427,0.8921983,0.88950425,0.92985064,0.90277493,0.87992674
22,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12.859,110,1297.026226,24,98,0.582,2,73,135,,Minor,48,44,42,12,2,11,3,0.6937872,0.82013583,0.8172068,0.7528721,0.87746215,0.8549017,0.86427665,0.8494592
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1.313,40,200.647221,17,152,0.032,11,139,133,F,Minor,85,81,67,26,0,12,5,1.0234599,0.9538055,1.0353196,1.0344161,1.0604544,0.92762554,0.8597003,0.95434994
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1.945,87,115.364561,74,182,0.087,14,,99,C#,Major,85,83,68,7,0,36,20,0.8402021,0.91896933,0.92703915,0.93970305,0.8720587,0.9449821,0.8338021,0.8866333
25,SABOR FRESA,Fuerza Regida,1,2023,6,22,0.25,26,78.300654,16,149,0.01,5,168,130,G,Minor,79,96,86,9,0,9,9,0.76940423,0.8499146,0.7863854,0.74914,0.93303454,0.7768901,0.8876382,0.85373497
26,Calm Down (with Selena Gomez),Rema and Selena Gomez,2,2022,3,25,7.112,77,899.183384,202,119,0.318,38,,107,B,Major,80,82,80,43,0,14,4,0.8965395,0.89538175,0.8559713,0.92151695,0.91020256,0.8718543,0.8874673,0.8609514
27,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,0.859,40,61.245289,35,109,0.041,14,211,122,F#,Minor,81,74,71,14,0,56,4,0.8105213,0.7890069,0.8431978,0.7936009,0.85350794,0.82996833,0.86588997,0.8286939
28,Last Night,Morgan Wallen,1,2023,1,31,2.42,19,429.829812,52,107,0.015,1,325,204,F#,Major,52,52,68,46,0,15,4,0.71459264,0.8085892,0.7117641,0.710667,0.7822477,0.74772114,0.77204865,0.7782711
29,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2.988,101,127.408954,0,0,0.143,38,0,110,B,Minor,67,78,85,2,0,33,5,0.8149777,0.89739114,0.8642114,0.90493083,0.8901282,0.88528025,0.77360517,0.8625392
30,Rush,Troye Sivan,1,2023,7,13,0.864,78,22.581161,71,135,0.05,1,294,126,F,Minor,74,35,84,0,0,11,6,0.68318075,0.72116786,0.814414,0.77169615,0.8359076,0.7356932,0.6756753,0.70892596
31,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,0.266,34,52.294266,20,185,0.013,8,197,168,F#,Major,56,63,87,39,0,11,5,0.6598531,0.72125,0.7981421,0.7018831,0.78734326,0.7090167,0.6324378,0.72631836
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6.036,88,843.95751,113,149,0.245,23,27,98,C#,Minor,71,17,61,36,0,8,5,0.7364198,0.72039604,0.84622765,0.71552974,0.7529449,0.7786697,0.59736085,0.7675202
33,Anti-Hero,Taylor Swift,1,2022,10,21,9.082,56,999.748277,242,142,0.165,9,310,97,E,Major,64,51,63,12,0,19,5,0.83440363,0.7908691,0.8488176,0.7425077,0.74177504,0.777254,0.7971975,0.89733183
34,TQG,"Karol G, Shakira",2,2023,2,23,4.284,49,618.990393,115,123,0.184,18,354,180,E,Minor,72,61,63,67,0,9,28,0.87250483,0.8681569,0.939592,0.84702635,0.96552277,0.8231493,0.8117353,0.8843577
35,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1.15,31,123.122413,22,33,0.034,7,184,120,,Major,81,63,68,11,0,11,4,0.80161774,0.9408672,0.8964926,0.8476297,0.8258095,0.75018823,0.886068,0.92132586
36,Frágil ,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,0.672,34,188.933502,19,108,0.024,9,,150,F#,Major,61,39,73,37,0,11,3,0.7190114,0.70048153,0.6680068,0.61114,0.56858003,0.6497196,0.687727,0.5866019
37,Blank Space,Taylor Swift,1,2014,1,1,11.434,53,1355.959075,154,123,0.41,2,81,96,F,Major,75,57,68,9,0,13,6,0.77932763,0.92389643,0.89195526,0.79343927,0.72663915,0.6621702,0.84560233,0.8659649
38,Style,Taylor Swift,1,2014,1,1,7.83,42,786.181836,94,111,0.151,4,82,95,D,Major,60,48,79,0,0,12,4,0.63135934,0.75725836,0.7413193,0.6408336,0.7931356,0.7065234,0.622052,0.7446692
39,TQM,Fuerza Regida,1,2023,5,19,0.584,28,176.553476,16,159,0.015,6,100,125,F,Minor,79,96,85,27,0,11,6,0.8608299,0.92472786,0.95495886,0.9129718,0.9560391,0.77637017,0.8797206,0.913116
40,El Azul,"Junior H, Peso Pluma",2,2023,2,10,0.692,25,354.495408,10,107,0.006,3,62,144,A,Minor,56,84,65,23,0,10,6,0.7428732,0.77049404,0.8333147,0.7504399,0.77167696,0.80188984,0.7537416,0.75232023
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24.094,78,2808.09655,372,117,0.843,4,69,90,D,Major,76,91,50,54,0,7,5,0.96590954,0.9345941,0.98085725,0.900417,0.90080893,0.9552792,0.96801317,0.9382389
42,I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12.482,80,1109.433169,291,184,0.537,45,727,128,G,Minor,56,38,97,4,0,35,4,0.7582048,0.82660717,0.771892,0.7156559,0.8509661,0.8374678,0.8300498,0.7868562
43,See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13.387,64,1047.101291,77,58,0.247,1,311,79,F#,Major,56,58,56,37,0,11,10,0.814939,0.8327824,0.6317629,0.7225176,0.83477193,0.86428934,0.81395394,0.82146686
44,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1.117,80,65.156199,82,145,0.065,16,,144,,Major,77,75,58,52,0,23,25,0.83414376,0.9320491,0.8474348,0.8556591,0.88878715,0.8779565,0.8968221,0.84482783
45,Angels Like You,Miley Cyrus,1,2020,11,27,3.372,19,570.515054,65,48,0.138,1,102,122,F,Major,67,49,64,10,0,10,3,0.77061963,0.90891325,0.8480551,0.8219606,0.9149948,0.91924244,0.9566426,0.91151774
46,I Ain't Worried,OneRepublic,1,2022,5,13,8.431,76,1085.68542,241,127,0.458,37,332,140,,Major,71,82,81,11,0,6,5,0.7762216,0.73635125,0.84452623,0.75206447,0.59672296,0.74069595,0.8184784,0.7049618
47,Die For You,The Weeknd,1,2016,11,24,2.483,59,1647.990401,68,21,0.024,0,259,134,C#,Minor,59,51,52,9,0,15,7,0.6834278,0.6634432,0.6793845,0.73585826,0.80463845,0.8094549,0.73226625,0.70896935
48,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29.536,79,2565.529693,281,137,2.445,1,140,186,G,Major,68,49,59,16,0,13,28,0.7117056,0.76611453,0.8030231,0.6246336,0.6926439,0.7352847,0.6886319,0.74511456
49,Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3.408,47,518.745108,87,86,0.074,1,16,67,C#,Minor,53,50,53,23,0,44,7,0.8203341,0.8804173,0.8011038,0.8879077,0.9173159,0.8728215,0.80314815,0.8628974
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1.298,38,107.75385,44,64,0.057,10,110,106,A#,Minor,72,17,64,7,0,10,5,0.6152451,0.76220953,0.7460046,0.720958,0.6975763,0.71717614,0.7262087,0.7020204
51,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4.277,66,177.740666,145,111,0.213,11,810,128,G,Major,60,23,91,0,0,12,3,0.79175055,0.65340257,0.92081356,0.81055915,0.7984069,0.8581661,0.84693986,0.82502246
52,AMARGURA,Karol G,1,2023,2,24,1.133,39,153.372011,14,71,0.023,10,176,107,F#,Minor,92,55,70,18,0,15,7,0.67472124,0.71533716,0.8423218,0.7031474,0.79541594,0.6032868,0.6977143,0.718827
53,(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2.259,59,57.87644,0,0,0.109,17,0,130,G,Minor,67,96,88,12,19,8,4,0.8085559,0.8308476,0.9308738,0.8527739,0.9085602,0.8928232,0.8155961,0.8665233
54,Another Love,Tom Odell,1,2012,10,15,18.371,83,1813.673666,250,122,3.394,19,,123,E,Minor,45,13,54,70,0,9,4,0.42196876,0.8338269,0.744524,0.64320564,0.83169377,0.7945588,0.84704226,0.83702606
55,Blinding Lights,The Weeknd,1,2019,11,29,43.899,69,3703.895074,672,199,3.421,20,,171,C#,Major,50,38,80,0,0,9,7,0.8591495,0.9513831,0.9919046,0.9541495,0.89464027,0.8273032,0.9203099,0.9694073
56,Moonlight,Kali Uchis,1,2023,2,24,2.649,42,256.483385,67,79,0.057,1,615,137,G,Minor,64,88,72,51,0,17,5,0.6205404,0.8208466,0.79017764,0.7757505,0.7235496,0.7134956,0.76352954,0.75570333
57,La Bachata,Manuel Turizo,1,2022,5,26,6.804,45,1214.083358,139,111,0.161,15,210,125,G,Minor,84,85,68,58,0,22,4,0.67595375,0.76425,0.8051504,0.70752656,0.7663044,0.7808659,0.7179258,0.80277056
58,S91,Karol G,1,2023,7,14,0.525,41,16.011326,34,115,0.039,6,216,128,,Minor,86,42,72,59,0,9,19,0.80129004,0.85034084,0.8597902,0.7517332,0.76807666,0.716602,0.7648958,0.75138307
59,cardigan,Taylor Swift,1,2020,7,24,7.923,29,812.019557,106,112,0.142,4,215,130,,Minor,61,53,58,55,0,27,4,0.69904304,0.6602007,0.66688144,0.60369635,0.66917,0.75051993,0.6378194,0.6472126
60,Tá OK,"dennis, MC Kevin o Chris",2,2023,5,4,0.731,15,111.947664,27,17,0.073,4,,130,B,Major,86,59,96,50,1,9,5,0.732268,0.7634506,0.67260206,0.66522783,0.771018,0.7326449,0.74594855,0.74759364
61,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5.184,41,156.338624,154,84,0.102,14,37,133,F,Major,70,86,81,25,0,25,5,0.8671533,0.8532172,1.0060649,0.84616655,0.9312871,1.0108193,0.8267666,0.9000355
62,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3.107,39,720.43424,38,0,0.004,0,0,101,D,Major,88,72,59,62,0,9,3,0.8551266,0.935037,0.8755364,0.87711406,0.9864617,0.9549755,0.86762476,0.9276127
63,BESO,"Rauw Alejandro, Rosalía",2,2023,3,24,4.053,50,357.925728,82,121,0.182,12,,95,F,Minor,77,53,64,74,0,17,14,0.7075867,0.7155918,0.7090926,0.71565866,0.76390886,0.7055269,0.6947336,0.7175484
64,Hey Mor,"Ozuna, Feid",2,2022,10,6,4.637,38,674.07271,63,79,0.089,11,16,98,C#,Minor,90,40,59,0,0,10,29,0.6918391,0.7595061,0.63808554,0.6711413,0.7967938,0.6778172,0.7767165,0.69210094
65,Yellow,Chris Molitor,1,1999,1,1,31.358,43,1755.214421,196,2,4.053,5,0,173,B,Major,43,28,66,0,0,23,3,0.7233877,0.67703784,0.81961215,0.6855159,0.8027759,0.730263,0.7022503,0.6719308
66,Karma,Taylor Swift,1,2022,10,21,3.818,23,404.562836,37,55,0.032,0,272,90,G#,Major,64,10,62,7,0,48,7,0.6326049,0.7153642,0.75250244,0.6893574,0.8615788,0.64805824,0.6700703,0.7590363
67,People,Libianca,1,2022,12,2,3.506,56,373.199958,105,64,0.169,8,529,198,A#,Minor,59,71,42,55,0,10,7,0.61104965,0.66528326,0.75853217,0.5525851,0.762818,0.69943887,0.6584841,0.63689363
68,Overdrive,Post Malone,1,2023,7,14,0.41,36,14.780425,36,32,0.031,1,26,140,C#,Major,56,48,73,0,0,35,4,0.84080833,0.8428354,0.8842556,0.8922056,0.8139757,0.7493074,0.7895189,0.8859037
69,Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,0.148,24,39.578178,32,93,0.008,2,5,82,G#,Major,51,22,53,1,0,15,3,0.83931357,0.8916994,0.93880296,0.912483,0.8084541,0.8927336,0.8461944,0.811555
70,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1.004,35,54.266102,42,80,0.058,3,169,130,C#,Minor,77,84,89,17,0,43,5,0.66164935,0.79347616,0.5323135,0.68912756,0.7875045,0.8589413,0.80704856,0.79385084
71,Heat Waves,Glass Animals,1,2020,6,28,22.543,63,2557.975762,386,144,0.707,28,,81,B,Major,76,53,53,44,0,9,9,0.7820636,0.8317803,0.9208905,0.8735724,0.98383284,0.8473551,0.9281503,0.9710001
72,golden hour,JVKE,1,2022,7,15,4.511,36,751.134527,70,58,0.109,18,230,94,C#,Minor,51,14,59,65,18,25,3,0.687521,0.7312659,0.687135,0.68157136,0.74470353,0.72970283,0.71320486,0.7326821
73,Sweater Weather,The Neighbourhood,1,2012,5,14,16.413,61,2282.771485,166,87,1.056,1,,124,A#,Major,61,41,81,5,2,10,3,0.8803314,0.8739188,0.90530956,0.8550595,0.86488694,0.8593379,0.91071594,0.88109905
74,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8.506,45,1356.565093,94,65,0.164,14,176,128,D,Major,62,55,78,1,3,23,4,0.9582721,0.8826515,0.9343726,0.9602674,0.98058397,0.8964337,0.8523698,0.86129546
75,Viva La Vida,Coldplay,1,2008,1,1,33.898,62,1592.909789,233,0,4.095,9,0,138,F,Minor,49,42,62,9,0,11,3,0.62139475,0.8318864,0.6824163,0.75400746,0.82527816,0.84445274,0.7279749,0.8430937
76,Here With Me,d4vd,1,2022,7,17,3.246,23,635.412045,94,85,0.068,1,84,132,E,Major,58,27,48,50,0,12,3,0.7417462,0.7926003,0.73921907,0.7355069,0.9005827,0.7777015,0.76145,0.7710767
77,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8.576,42,1230.67589,216,108,0.331,26,154,131,D,Major,71,24,47,1,0,27,9,0.87634856,0.85403967,0.9155634,0.82839423,0.6408653,0.91669893,0.8200722,0.7741659
78,Yandel 150,"Yandel, Feid",2,2022,12,20,3.618,38,585.695368,47,74,0.08,14,194,168,F#,Minor,78,58,73,5,0,10,7,0.84171015,0.7402252,0.8828441,0.7433096,0.7901662,0.88318837,0.76828647,0.80305576
79,CORAZÓN VACÍO,Maria Becerra,1,2023,6,22,0.37,20,43.857627,12,16,0.018,4,,98,C#,Major,68,40,79,33,0,30,6,0.7133882,0.78275716,0.7641823,0.7266704,0.7456902,0.70155084,0.8858174,0.71643245
80,Riptide,Vance Joy,1,1975,1,1,31.123,55,2009.094673,300,65,1.003,1,0,102,C#,Major,48,50,73,43,0,15,4,0.7528416,0.7201007,0.83875155,0.701383,0.7457906,0.73614883,0.68499464,0.7252189
81,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2.79,30,600.976848,60,96,0.071,0,115,101,A#,Major,34,32,57,78,0,20,3,0.91472244,0.9803905,0.84071493,0.93832433,0.8849325,0.9838582,0.9466201,0.9215835
82,Novidade na Área,"Mc Livinho, DJ Matt D",2,2023,6,23,0.267,9,39.709092,9,6,0.025,2,,130,F,Major,63,36,34,76,0,35,9,0.78586984,0.85710204,0.9404856,0.78551483,0.8679309,0.8202607,0.86820805,0.880402
83,Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,0.139,17,39.228929,16,72,0.005,0,8,142,D,Major,50,20,64,1,0,12,3,0.86672586,0.9490115,0.9342305,0.93606436,0.8650916,0.92779225,0.89095104,0.82584405
84,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17.05,36,2665.343922,492,99,0.798,31,0,170,C#,Major,59,48,76,4,0,10,5,0.8805549,0.91568935,0.9023429,0.8390622,0.8930731,0.8972183,0.81197524,0.88089275
85,El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2.114,44,223.633238,80,75,0.11,11,323,124,G#,Minor,78,70,68,3,1,11,4,0.75337285,0.8097557,0.87125003,0.77382696,0.85798883,0.63577414,0.76857036,0.82752633
86,Someone You Loved,Lewis Capaldi,1,2018,11,8,17.836,53,2887.241814,440,125,1.8,0,,110,C#,Major,50,45,41,75,0,11,3,0.50411856,0.7896023,0.80431217,0.6245527,0.83823323,0.827544,0.8778312,0.7847847
87,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8.87,43,1440.757818,104,120,0.141,26,49,92,C#,Minor,91,43,71,9,0,9,8,0.8497328,0.8724851,0.8411771,0.8449991,0.9252558,0.92147386,0.9291266,0.8941828
88,Makeba,Jain,1,2015,6,22,6.06,53,165.484133,150,148,2.703,22,,116,D,Major,82,40,66,39,51,25,7,0.60313153,0.71061295,0.78636205,0.64484143,0.75341684,0.6177014,0.6499958,0.76876926
89,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,0.641,50,58.054811,1,52,0.008,0,,129,A,Major,63,84,82,70,8,9,7,0.9055222,0.9783992,1.0228764,0.8638728,1.0379114,0.875581,0.9017186,0.9799786
90,Fast Car,Luke Combs,1,2023,3,24,1.446,12,157.05887,57,97,0.035,0,429,98,G#,Major,71,67,60,19,0,12,3,0.7327641,0.82248497,0.8596035,0.70489633,0.81557894,0.7331989,0.857234,0.76916146
91,What It Is (Solo Version),Doechii,1,2023,3,17,0.804,25,95.131998,29,76,0.024,0,162,172,C#,Minor,74,76,76,6,0,10,9,0.86678493,0.93017125,0.959737,0.8735703,0.90012,0.89703673,0.837989,0.8475981
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1.962,38,250.305248,28,89,0.029,5,82,150,D,Major,68,14,76,4,0,10,4,0.82095575,0.9130486,0.8509634,0.8395647,0.8775617,0.9057286,0.90450764,0.8378054
93,Don't Blame Me,Taylor Swift,1,2017,11,8,4.875,23,685.032533,19,45,0.0,0,,136,A,Minor,62,19,53,11,0,6,4,0.82346773,0.7870562,0.87283754,0.85551345,0.76845646,0.8151461,0.8417611,0.89182925
94,Still With You,Jung Kook,1,2020,6,5,0.031,39,38.411956,2,107,0.008,0,0,88,C#,Minor,53,34,47,9,0,83,4,0.7973528,0.8224155,0.7211242,0.71930826,0.8482968,0.7820982,0.82718253,0.7410892
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2.175,23,144.56515,69,145,0.069,2,478,143,D#,Major,83,69,44,15,0,10,33,0.8164652,0.8824757,0.8866273,0.8341521,0.9417143,0.8998597,0.81547415,0.90867317
96,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2.0,46,127.56754,49,105,0.063,1,0,100,F#,Minor,49,17,35,71,9,11,3,0.8085318,0.9459023,0.68170357,0.9414517,0.8961133,0.9838741,0.94157195,0.9297443
97,Snooze,SZA,1,2022,12,9,2.839,25,399.686758,58,156,0.042,1,236,143,F,Major,56,39,55,14,0,11,13,0.79532516,0.7148824,0.7714478,0.7644214,0.78463364,0.6122915,0.7094541,0.6828611
98,Summertime Sadness,Lana Del Rey,1,2011,1,1,20.333,52,983.637508,89,143,1.632,3,200,112,C#,Minor,56,24,66,7,0,12,3,0.7723483,0.76738805,0.8800342,0.9007284,0.86401135,0.8387567,0.95900995,0.68559754
99,Take Two,BTS,1,2023,6,9,0.674,47,118.482347,20,106,0.025,4,78,93,G,Major,62,57,59,3,0,38,3,0.6932534,0.69416153,0.73318493,0.72405124,0.8291176,0.8240897,0.6577691,0.8128842
100,Lover,Taylor Swift,1,2012,1,1,8.448,23,882.831184,160,110,0.163,0,5,206,G,Major,43,50,55,50,0,15,10,0.24079198,0.732863,0.65865433,0.44876432,0.7169614,0.7146904,0.7095939,0.66815484
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2.11,58,286.400165,17,119,0.019,2,266,88,G,Minor,68,17,71,15,0,11,5,0.910714,0.9424004,0.9070095,0.9319514,0.84959245,0.9352149,0.9211762,0.93359977
102,Chemical,Post Malone,1,2023,4,14,2.528,39,172.825906,56,91,0.059,3,486,170,D,Major,50,37,90,0,0,12,5,0.71534514,0.75008214,0.85553336,0.71222955,0.78095615,0.69962096,0.7327123,0.7764217
103,Mockingbird,Eminem,1,2004,1,1,12.985,61,1241.559043,49,98,2.394,5,204,84,E,Minor,62,24,67,21,0,13,28,0.75955224,0.8106195,0.8298645,0.7064897,0.7308533,0.77683055,0.755767,0.7675128
104,New Jeans,NewJeans,1,2023,7,7,0.077,35,29.56222,8,166,0.004,4,34,134,E,Minor,81,53,72,51,0,12,5,0.865856,0.8505225,0.9130863,0.7946612,0.8632243,0.9063554,0.8682848,0.8219452
105,Primera Cita,Carin Leon,1,2022,4,20,0.266,27,77.309611,6,40,0.006,6,202,158,A#,Major,54,50,40,61,0,10,6,0.71965957,0.82111526,0.7630663,0.6562469,0.85373956,0.759726,0.7787075,0.86391824
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21.097,52,1605.224506,384,135,1.034,37,312,116,C#,Major,80,92,80,4,0,10,3,0.8005984,0.9023858,0.88711923,0.848715,0.91986614,0.8687313,0.88099337,0.8260284
107,Dandelions,Ruth B.,1,2017,4,28,3.423,21,1116.995633,41,100,0.059,1,32,117,C#,Major,61,45,69,2,0,9,3,0.7882699,0.86388606,0.8327023,0.84582925,0.80140764,0.8426087,0.82475173,0.8043542
108,Bones,Imagine Dragons,1,2021,3,11,4.198,44,838.0799,98,108,0.327,17,153,114,F,Minor,77,65,72,2,0,7,5,0.77598953,0.6422929,0.7970388,0.7355998,0.8368072,0.64879656,0.73408276,0.73798203
109,Set Fire to the Rain,Adele,1,2011,1,1,14.739,43,1163.620694,88,112,2.163,5,519,108,D,Minor,61,47,68,0,0,13,3,0.8618112,0.8834515,1.0130609,0.9934153,0.9954633,0.97632813,0.92940974,1.000913
110,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26.792,32,1093.605526,69,113,0.695,0,458,144,E,Minor,74,37,53,7,0,21,10,0.79356307,0.861548,0.9013023,0.8214781,0.91965973,0.7688256,0.87368536,0.85440475
