,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1936,�,�,ANNA ASTI,7/14/2023,RUA1D2370675,"1,922",33.0,"17,080,355","5,909","554,886",53.0,"203,425,864","773,896","31,300","2,959,139","33,547,289","435,977,933",17.0,"1,220",,,,,,,,"1,065,042",,0
1941,SUPERMODEL,SUPERMODEL,M�ne,5/13/2022,ITB002200385,"1,936",32.9,"308,183,607","57,988","30,736,731",64.0,"29,232,672","460,660","145,290","31,480,770","401,636,873","65,010",70.0,"175,801",629,52.0,"355,125",32.0,"20,536,894","2,578",,"2,354,432",,0
1953,HIBIKI,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364184,"1,948",32.7,"160,821,035","28,905","14,456,501",,"30,126,694","416,875",,"17,020","185,582","36,717",11.0,"1,127",,6.0,"293,259",10.0,"2,188,466",230,,"141,377",,1
1961,Facas - Ao Vivo,Diego & Victor Hugo Ao Vivo Em S�o Paulo Vo,Diego & Victor Hugo,8/4/2022,BC29Q2200025,"1,954",32.6,"278,318",114,"34,185",17.0,"526,506,814","2,040,196",9,"3,218","61,675","2,231,104,652",,27,,,,,,,,,,0
1994,T�t B�n,T�t B�n,Hana C�m,1/3/2023,DGA092216622,"1,994",32.3,"558,538",63,"2,483",30.0,"42,031",71,"2,800,023","27,762,133","557,643,224",,,,,,,,,,,,,0
2000,Nost�l,Nost�lgico - Si,Rvssian,9/8/2021,USSD12100318,"1,992",32.3,"503,972,431","90,920","21,683,459",68.0,"169,044,079","1,342,959","282,700","63,965,739","544,513,130","15,679,692",77.0,"25,766",37,18.0,"126,019",31.0,"7,843,225","3,549",,"2,021,548",,1
2011,Sigue,Cap�tu,Beny Jr,4/1/2022,ES71G2211486,"2,008",32.2,"243,125,642","77,523","7,260,157",74.0,"173,482,368","821,531","46,000","6,590,357","70,560,340","155,923,213",8.0,"1,551",,3.0,"150,930",2.0,,,"1,215,112",,,0
2020,FAKE LOVE,Love Yourself � 'A,BTS,8/24/2018,QM6MZ1886138,"2,010",32.1,"800,203,170","9,924","2,885,625",57.0,"1,349,952,981","25,782,597",,,,"246,145,303",12.0,3,,2.0,"160,093",6.0,"18,035,980","36,158",,"3,351,704",,0
2026,Prohibidox,FELIZ CUMPLEA�OS FERXXO TE PIRATEAMOS EL �,Feid,9/14/2022,USUM72217627,"2,012",32.1,"289,624,210","36,819","10,542,649",70.0,"201,168,669","890,146","348,887","29,953,518","298,398,790","2,872,779",27.0,"10,939",,13.0,"376,532",7.0,"3,469,448",496,,"465,619",,0
2031,SEDA,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364188,"2,009",32.1,"138,855,240","27,705","8,044,125",,"33,615,045","376,469",,,,"4,046,637",6.0,665,,2.0,"4,812,515",5.0,"3,418,721",512,,"201,936",,1
2046,c�mo dormi,c�mo dormi,Rels B,8/4/2022,UYB282276000,"2,038",31.9,"516,560,181","60,949","15,706,900",74.0,"110,114,094","814,675","244,400","53,071,916","544,497,354","203,932,387",17.0,"7,220",3,10.0,"130,488",22.0,"39,159",,,"340,443",,1
2049,�Cu�l Es Su Nombre?,El De La Nueva Baby,Lucky Brown,9/14/2023,CLA1D2300086,"2,041",31.9,"83,521,812","10,789","6,141,307",66.0,"127,280,465","489,928","110,443","7,796,172","52,933,390","497,967,066",1.0,126,,3.0,"1,948,038",,"42,326",14,,"97,655",,1
2053,Where Are � Now (with Justin Bie,Skrillex and Diplo present Jack �,Jack �,2/24/2015,USAT21500555,"2,036",31.9,"1,100,392,417","117,948","37,006,559",69.0,"1,343,498,789","7,017,961","33,476","781,713","1,292,397","246,356,209",11.0,"43,071",74,126.0,"615,957",65.0,"270,250,732","213,577",,"25,076",,0
2054,TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSAL�,5/28/2020,USSM12001261,"2,047",31.9,"447,192,467","93,245","19,111,650",61.0,"304,553,514","4,676,461","1,600,000","229,389,091","1,990,567,953","34,030,311",141.0,"29,258",181,58.0,"359,553",24.0,"5,796,151","6,986",,"2,921,983",,0
2056,Est� Da�,Alma Vac�,Ivan Cornejo,8/20/2021,QZMFV2000188,"2,037",31.9,"263,986,575","37,945","5,228,085",67.0,"138,793,735","1,535,505","953,400","208,958,147","1,575,405,115","266,125",21.0,15,2,2.0,810,7.0,"16,443,108","26,731","22,737,141","1,413,328",,0
2062,Maps,Todo Exitos 2014 (Los N�mero 1 Del A,Maroon 5,1/1/2014,USUM71407116,"2,052",31.8,"1,676,528,402","191,597","65,483,960",79.0,"942,734,894","4,766,947","72,429","23,807,742","152,847,615","545,259,689",62.0,"14,258",45,57.0,"744,211",13.0,"494,847,775","166,161",,"157,957",,0
2081,Hackearam-me,"Decretos Reais, Vol. 3",Mar�lia Mendo,3/16/2023,BRWNV2300007,"2,073",31.7,"43,921,455","1,924","4,623,719",44.0,"329,678,889","1,854,891","1,304","633,597","6,144,992","226,061,001",8.0,26,,11.0,"718,002",4.0,"26,190",,,"9,589",,0
2084,�,�,YOASOBI,12/15/2019,JPP301900716,"2,085",31.6,"588,095,934","82,659","7,746,455",67.0,"690,674,947","5,232,424","146,905","80,235,443","613,017,696","84,307,511",59.0,"2,186",,7.0,"11,927",9.0,"1,163,746","1,034",,"1,740,273",,0
2087,A Cara do Crime (N�s Incom,A Cara do Crime (N�s Incom,Mc Poze do Rodo,5/27/2021,BCM9A2100020,"2,076",31.6,"167,885,356","35,425","5,269,761",59.0,"623,156,045","4,494,258","62,871","2,554,504","35,359,820","196,485,248",14.0,4,,17.0,"257,093",7.0,,,,"288,490",,1
2089,"I P� ME, TU P","I P� ME, TU P",Geolier,2/7/2024,ITQ002400009,"2,079",31.6,"85,967,228","4,033","5,992,539",71.0,"55,372,624","370,683",,,,"615,937,940",14.0,"7,065",,2.0,"3,097,701",22.0,967,,,"162,032",,0
2094,Can�n Sa�,Can�n Sa�,Semicenk,4/21/2023,FRX282385759,"2,082",31.6,"141,252,425","15,291","5,154,828",69.0,"194,066,158","587,390","21,400","722,246","23,818,069","297,624,271",11.0,"7,224",,1.0,"1,566,667",,,,,"523,400",,0
2100,J�lale,J�lale,Bb trickz,5/2/2024,ES5022400953,"2,102",31.5,"23,649,304","1,089","13,373,487",73.0,"18,261,218","229,451","20,327","221,800","1,395,100","2,297,932",5.0,3,85,4.0,"27,568",,"15,096",85,"6,827","114,774",,0
2112,Si Estuvi�semos Ju,X 100PRE,Bad Bunny,12/23/2018,QM7281884729,"2,106",31.4,"893,876,704","86,788","30,501,893",75.0,"824,238,458","5,274,687","77,115","19,235,429","127,896,618","149,369,272",21.0,816,,10.0,"69,243",1.0,"62,373,085","9,719",,"1,305,163",,1
2115,El Perd�,Full Circle: The Live Anthology,Nicky Jam,11/20/2011,USSD11500005,"2,108",31.4,"869,024,663","91,687","30,002,977",69.0,"1,937,330,456","6,059,523","101,928","5,141,327","67,188,077","270,306,685",111.0,"53,221",78,69.0,"420,802",43.0,"489,534,594","237,999",,"6,946,052",,0
2129,Dancin� In The C,Dancin' In The Country,Tyler Hubbard,8/19/2022,USUM72206481,"2,129",31.2,"142,607,318","17,721","11,539,344",67.0,"13,270,587","89,854","14,841","2,675,513","40,035,442",,28.0,"301,252",131,2.0,"89,250",26.0,"50,982,434","6,178",,"596,894",,0
2135,�lle de Sen,�lle de Sen - Single,Muti,11/17/2023,TRCGH2300006,"2,132",31.2,"49,630,584","7,644","1,077,118",,"102,074,133","305,216","38,600","70,954","6,598,274","304,330,982",3.0,"1,611",,1.0,716,,,,,"182,499",,0
2152,BRAZILIAN DAN�A P,BRAZILIAN DAN�A P,6YNTHMANE,5/12/2023,QM6N22383605,"2,137",31.1,"185,914,923","28,387","19,122,650",72.0,"114,153,936","1,500,822",,,,"86,472,968",1.0,2,,2.0,"491,228",5.0,"313,124","1,606",,"1,114,212",,1
2170,ADI�,LA NENA DE ARGENTINA,Maria Becerra,12/8/2022,USAT22221820,"2,157",30.9,"172,082,938","15,951","6,701,830",66.0,"215,719,591","857,582","485,700","55,172,498","874,751,736","17,350,637",3.0,"11,867",456,8.0,"414,587",10.0,"196,984",127,"67,782","308,507",,1
2197,BIZCOCHITO,Find Your Line: Official Music from GRAN TURISMO 7,ROSAL�,3/4/2022,USSM12109223,"2,192",30.6,"222,910,969","42,182","10,406,462",61.0,"69,332,188","971,738","1,874,811","1,019,396,452","11,257,489,400","20,397,038",34.0,"10,985","2,464",23.0,"134,321",28.0,"3,718,270","2,356",,"1,284,746",,1
2202,Si Fuera F�,Si Fuera F�cil - Si,Grupo Marca Registrada,5/27/2022,USDXS2201491,"2,195",30.6,"285,183,501","28,319","13,770,276",65.0,"322,857,747","1,566,688","60,681","10,855,957","125,822,489",,6.0,29,,2.0,"194,190",3.0,"26,370,349","3,167",,"411,987",,0
2205,Engana Dizendo Que Ama,Dos Pr�dios De,Veigh,5/19/2023,QZMWW2396003,"2,188",30.6,"142,474,379","25,470","5,055,407",67.0,"144,774,313","822,345",,,,,8.0,,,8.0,"328,165",16.0,,,,"153,295",,1
2207,"Arc�ngel: Bzrp Music Sessions, Vol","Arc�ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,UYB282301033,"2,191",30.6,"146,680,564","28,883","9,546,255",62.0,"154,916,805","3,043,720",820,"136,267","1,816,865","1,778,092",8.0,"8,273",14,13.0,"115,418",5.0,"904,756",,"590,512","199,628",,0
2208,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arc�,9/30/2016,TCACS1630643,"2,199",30.5,"462,055,272","54,302","17,847,539",71.0,"1,546,120,738","7,974,135","360,400","75,766,885","648,582,782","563,886,727",11.0,566,,7.0,"23,122",3.0,"52,143,549","25,408",,"1,569,987",,1
2220,WHERE SHE GOES,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QM6P42352188,"2,208",30.4,"717,849,037","11,199","4,402,776",,,,,,,,16.0,13,,,,,"22,701,001","8,039",,,,1
2223,Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Rene� ,12/15/2023,USUM72318541,"2,221",30.4,"81,494,626","8,973","20,213,928",,"101,469","1,338",,,,,23.0,"74,984",137,39.0,"3,444,021",24.0,"2,269,915",942,,,,1
2227,C�,VICE VERSA,Rauw Alejandro,6/25/2021,USSD12100296,"2,215",30.4,"596,905,923","83,179","20,128,974",76.0,"132,634,826","1,011,336","803,336","177,757,652","1,408,309,850","12,050,206",72.0,"17,091",181,18.0,"238,540",25.0,"18,530,463","2,252",,"1,086,469",,1
2228,What�,Scary Hours 2,Drake,3/5/2021,USUG12101041,"2,220",30.4,"383,261,731","94,964","21,697,781",62.0,"84,527,592","1,340,886","60,864","41,730,155","320,457,752","112,914,243",62.0,"40,515",377,27.0,"428,254",26.0,"55,798,346","49,620","14,432,922",,,1
2230,Desp�dase ,"Boca Chueca, Vol. 1",Carin Leon,6/1/2024,USA2P2432330,"2,211",30.4,"10,557,337",393,"42,329,224",72.0,"4,595,134","65,231",,,,"2,297,932",9.0,36,,6.0,"642,021",17.0,"949,464",155,"1,167","110,707",,1
2238,No Hay Nadie M�,No Hay Nadie M�,Sebastian Yatra,1/26/2018,USUM71713890,"2,239",30.3,"546,219,103","43,372","12,705,005",69.0,"1,289,314,157","6,163,163","274,799","25,654,892","222,363,120","223,743,334",21.0,"13,300",102,31.0,"123,304",18.0,"18,098,372","4,619",,"24,199",,0
2241,Ramenez la coupe � la ma,Ramenez la coupe � la ma,Vegedream,7/17/2018,UKGD81800015,"2,233",30.3,"482,859,077","154,354","9,307,449",62.0,"550,746,505","4,627,573","671,494","224,089,888","3,084,440,795","3,048,497",58.0,"4,483",,30.0,"460,193",6.0,"260,981","1,078",,"4,684,186",,0
2245,M�dchen auf dem P,M�dchen auf dem P,Luca-Dante Spadafora,5/12/2023,CH7812350872,"2,226",30.3,"119,141,939","46,323","14,389,973",67.0,"23,993,631","167,659",58,"89,658","1,318,558","103,548,221",21.0,"2,297",,15.0,"212,114",13.0,,,"2,223,239","409,234",,0
2246,Cuando Te Bes�,Cuando Te Bes�,Becky G,8/2/2018,USSD11800274,"2,240",30.3,"588,021,470","51,865","15,227,639",63.0,"1,114,556,086","5,855,578","118,917","6,274,016","58,539,891","114,202,446",20.0,"7,464",36,24.0,"221,478",18.0,"19,883,459","7,852",,"1,621,041",,0
2251,Loucura,Amor e �,Borges,12/12/2023,BCM9A2300102,"2,248",30.2,"79,782,529","10,849","8,194,521",,"70,231,783","491,126",,,,"462,163,988",9.0,5,,18.0,"5,792,984",16.0,,,,,,1
2259,ZITTI E BUONI,ZITTI E BUONI,M�ne,3/3/2021,ITB002100112,"2,242",30.2,"475,549,122","94,637","9,975,524",69.0,"259,762,159","2,895,468","139,573","75,858,814","628,509,922","21,047,789",62.0,"17,041",,28.0,"566,398",42.0,"543,933","1,020",,"2,395,559",,1
2268,Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),Churrasquinho do Menos � Mais (Ao V,Grupo Menos � ,4/23/2020,USDY42060410,"2,260",30.1,"270,944,683","6,608","2,522,207",,"996,737,706","4,480,282",66,"6,369","102,989","63,527,580",,,,7.0,"22,899",,,,,,,0
2276,NO ME QUIERO CASAR,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364196,"2,269",30.0,"144,801,283","20,979","16,117,371",73.0,"33,000,813","284,943","1,380","750,523","7,437,994","37,948,816",18.0,"8,135",,4.0,"321,307",16.0,"4,129,629","1,305",,"538,315",,1
2281,El Mejor,El Mejor,Chay�n R,10/27/2023,TCAHK2398379,"2,282",30.0,"7,178,040","1,181","235,460",,"9,465,691","61,294","970,300","21,282,649","470,202,643",,,,,,,,,,,"156,906",,1
2286,BEB�,BEB�,Camilo,11/25/2020,USSD12000562,"2,277",30.0,"401,104,048","42,742","14,190,262",66.0,"458,776,041","3,332,448","1,002,990","85,197,306","718,042,201","73,445,402",82.0,"26,472",,25.0,"361,819",36.0,"11,215,155","5,479",,"1,090,144",,0
2288,Palha�a (Ao V,Palha�a (Ao Vivo) - Si,Naiara Azevedo,1/12/2023,BX8WE2200062,"2,271",30.0,"149,801,910","10,235","8,902,883",58.0,"296,057,090","899,154",,,,"787,165,088",4.0,"1,846",,24.0,"167,705",9.0,,,,"103,032",,0
2292,BABY NUEVA,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364191,"2,283",30.0,"118,835,954","23,373","9,125,370",,"29,487,901","386,863","40,400","4,048,330","37,952,552",,5.0,954,,,,3.0,"6,977,653","1,304",,"399,333",,1
2293,� � � �,� � � � - Single,� �,12/8/2022,DGA082213263,"2,279",30.0,"468,162",114,"21,665",24.0,,,"2,500,000","5,971,244","183,524,720",,,,,,,,,,,"95,147",,0
2297,Happier,� (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700028,"2,287",29.9,"1,322,385,342","109,373","54,954,226",70.0,"696,425,510","4,649,149","1,289,662","34,964,865","223,959,183","137,582,931",37.0,"36,265",6,29.0,"310,000",27.0,"170,123,227","113,215",,,,0
2316,Zapateado Encabronado #3,Nuestra Historia de Voces Edici�n de Oro 25 a,Alacranes Musical,3/22/2024,GBLFP2486472,"2,300",29.8,"12,495,358",5,17,,,,,,,,,,,,,,"16,357,353","46,235",,,,0
2317,Ain�t Tha,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300807,"2,302",29.8,"210,072,827","30,503","5,318,773",74.0,"35,281,929","221,683","54,106","6,277,486","92,174,906","91,240,010",8.0,"2,055",,,,2.0,"61,861,012","13,426","3,550,321","172,414",,1
2318,I Am Your Gummy Bear (The Gummy Bear Song),Gummybear Song,Gummib�,1/1/2007,USR3R0700073,"2,307",29.8,"104,073,182","11,904","1,660,833",57.0,"3,982,526,341","11,455,880","384,946","83,486,676","1,565,261,998","54,565,314",4.0,,,2.0,"3,494",3.0,,,"3,120,738","648,232",,0
2320,Te Felicito,"Unas M�as y Otras Prestadas, Vo",Gerardo Coronel,11/11/2022,QZDQH2204268,"2,308",29.8,"136,999,598","2,515","1,614,193",57.0,"352,276,536","848,233",,,,"38,327,211",2.0,"4,630",,,,1.0,,,,"772,708",,0
2329,�C�mo Pas�?,�C�mo Pas�?,Ela Taubert,2/14/2024,USUM72400711,"2,324",29.7,"61,288,751","3,662","17,901,827",,"41,942,760","443,004",,,,"17,589,313",10.0,"3,666",,15.0,"331,202",15.0,"73,018",166,,"610,292",,0
2341,Se Le Ve,"Se Le Ve (feat. Justin Quiles, Arcangel, De La Ghetto, Lenny Tav�rez & D�melo Flow) ",D�melo ,8/12/2021,QM9WM2100063,"2,332",29.6,"240,138,585","43,572","11,285,970",56.0,"200,632,603","1,367,067","1,845,758","267,131,680","3,307,238,247","67,529,333",34.0,"7,909",,7.0,"33,136",2.0,"1,857,076","1,135","601,959","601,506",,1
2342,Cora�o,Manual de Como Amar Errado,WIU,11/29/2022,BXW922200010,"2,333",29.6,"239,669,425","30,426","7,338,920",63.0,"181,495,900","1,178,870","223,700","26,184,927","378,296,874","144,121,249",12.0,"3,265",,29.0,"657,656",11.0,,,,"235,905",,1
2357,BOOKER T,EL �LTIMO TOUR DEL M,Bad Bunny,11/27/2020,QMFME2066844,"2,351",29.4,"403,041,493","62,435","9,324,189",66.0,"452,234,537","4,763,627","467,766","137,827,484","1,329,875,404","7,229,929",38.0,630,,35.0,"295,037",9.0,"11,983,033","7,443",,"686,025",,1
2373,Mon�y so,Up 2 M�,Yeat,9/10/2021,USLD91734275,"2,368",29.3,"378,668,802","110,916","13,349,294",71.0,"46,877,855","687,841","96,000","82,992,212","658,699,167","6,350",6.0,43,,,,1.0,"2,408,379","13,688",,"3,103,353",,1
2378,Love Story (Taylor�s Ve,Love Story (Taylor�s Ve,Taylor Swift,2/12/2021,USUG12100342,"2,363",29.3,"763,292,840","71,179","60,479,422",74.0,"95,479,909","1,954,310","580,400","238,529,478","2,195,330,963","146,268,449",100.0,"55,204",,28.0,"455,783",7.0,"59,534,342","31,885","3,371,115","1,405,713",,0
2383,� � �,� � � - Single,� �,5/2/2024,CAQ8S1636173,"2,374",29.3,,,,,"32,341,045","31,153",,,,,,,,,,,,,,,,0
2385,Te Robar�,Te Robar�,Nicky Jam,3/22/2019,USSD11900072,"2,366",29.3,"547,483,874","59,096","18,863,568",61.0,"768,753,162","3,000,650","4,927","334,324","5,221,834","135,529,403",59.0,"9,233",55,26.0,"623,759",20.0,"130,897,920","10,904","1,690,083","2,115,863",,0
2391,Malvada,Malvada,Z� Fe,1/28/2022,BRTLW2100037,"2,382",29.2,"166,427,224","17,110","7,754,576",53.0,"401,495,057","2,782,962","660,700","105,899,920","1,504,623,313","724,605,425",18.0,"1,462",,25.0,"320,796",6.0,"7,412",,,"141,986",,0
2403,T�,Encerrados Pero Enfiestados (Live Vol. 1),Carin Leon,5/22/2020,USDXS2007349,"2,393",29.2,"327,311,508","31,216","7,536,781",68.0,"699,298,520","2,643,453","200,001","16,337,762","271,173,077","2,872,858",15.0,"6,744",27,7.0,"81,984",39.0,"48,730,708","21,508",,"1,353,689",,0
2407,Safari,Energ�,J Balvin,6/3/2016,USUM71604778,"2,402",29.1,"559,708,419","61,743","16,037,041",65.0,"1,254,068,497","4,746,667","83,679","24,066,770","148,552,468","277,412,549",117.0,"11,118",63,38.0,"115,932",25.0,"175,224,196","72,110",,"5,773,120",,0
2409,�,� - Single,� �,4/5/2024,FRX282414002,"2,403",29.1,"2,409,532",128,"136,647",52.0,"44,586,424","222,685",,,,,3.0,,,,,,,,,"14,731",,0
2412,O Patinho Colorido,"Bento e Tot�, Vo",Bento e Tot�,11/15/2019,BX7CP1900008,"2,396",29.1,"11,029,541","2,068","188,999",52.0,"1,003,456,602","2,729,246","42,700","2,328,242","38,710,313",283,,,,,,,,,,"13,061",,0
2413,La Mejor Version de Mi,La Mejor Versi�n d,NATTI NATASHA,2/12/2019,USB271900112,"2,398",29.1,"109,221,089","33,020","14,584,019",66.0,"974,345,116","4,887,786","740,743","14,861,761","284,819,297","106,854,506",13.0,"2,579",344,2.0,"1,181",22.0,"29,092,884","13,020",,,,0
2415,Love Terremoto - Ao Vivo,"Resenha Preferida, Vol. 2 (Ao Vivo)",Os Bar�es Da Pisad,8/3/2022,BXDW72200033,"2,413",29.0,"17,075,528","1,868","3,645,660",40.0,"458,564,536","2,110,326",,,,"433,210,004",8.0,21,,4.0,"201,570",3.0,"2,569",,,"5,899",,0
2419,Una Lady Como T�,Una Lady Como T�,Manuel Turizo,12/1/2016,QZ5AB1708080,"2,409",29.0,"2,935,372",41,"3,790",,"1,941,794,720","6,381,781",,,,"265,797,030",,,,,,,,,,,,0
2431,� �,The End,Lusia Chebotina,10/29/2021,QMDA62163216,"2,421",29.0,"32,318,892","13,584","1,196,310",51.0,"366,398,853","1,436,406","1,300,000","103,763,490","2,526,424,724","68,840,482",23.0,902,,3.0,"657,583",,,,,"1,544,949",,0
2440,Pi�man De�,Pi�man De�ilim ,Semicenk,6/2/2023,FRX762391695,"2,434",28.9,"134,291,091","16,247","2,133,867",65.0,"147,910,091","435,023",,,,"289,637,676",10.0,"9,012",,1.0,"1,566,667",,,,,"409,388",,0
2443,GIVENCHY,Temporada de Reggaet�,Duki,7/20/2022,UYB282240021,"2,436",28.9,"240,519,561","48,629","9,332,907",62.0,"203,263,077","2,270,776","46,349","38,804,922","313,936,580","5,144,948",13.0,"1,020",100,8.0,"183,474",15.0,"36,312",105,,"177,813",,1
2445,COME UN TUONO (feat. Gu�,RADIO SAKURA,Rose Villain,3/7/2024,ITQ002400077,"2,433",28.9,"53,590,796","2,987","6,810,196",75.0,"26,526,323","97,934",,,,"65,522,800",21.0,"8,728",,2.0,"3,766,780",25.0,98,,,"488,628",,1
2459,Parado no Bail�,Parado no Bail�,MC L da Vinte,7/23/2018,QZ5AB2004464,"2,442",28.8,"387,513,964","87,059","13,523,070",68.0,"441,752,713","4,691,667","2,508,649","432,161,011","5,294,479,343","2,435,472",8.0,587,,17.0,"106,365",1.0,"123,904","1,948",,"3,685,557",,0
2460,El Paso del Gigante,Los Reyes de los Sonidos,Grupo So�,11/24/2023,QZW9L2351948,"2,444",28.8,"25,684",1,1,,,,,,,,,,,,,,"73,951,432","83,085",,,,0
2462,"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi",ROSAL�,8/15/2019,USSM11900596,"2,452",28.8,"572,697,124","76,099","26,265,380",65.0,"630,335,590","4,117,309","198,900","19,271,618","125,501,807","271,921,550",148.0,"18,653",104,41.0,"1,005,275",34.0,"39,158,276","7,804",,"2,065,994",,0
2467,Conex�es de M�fia (feat. Rich ,Conex�es de M�fia (feat. Rich The Kid) ,Matu�,4/30/2023,BXW922200014,"2,453",28.8,"159,579,530","29,495","10,067,664",67.0,"113,216,772","1,817,753","21,800","7,387,254","68,969,483","92,356,691",20.0,"2,829",,32.0,"618,294",18.0,,,,"161,952",,1
2475,Deixa,Deixa,Maria Mar�,3/21/2023,BRMKP2300072,"2,467",28.7,"64,736,609","4,611","7,326,714",67.0,"254,836,186","1,434,198","65,367","3,439,863","67,989,343","232,438,870",7.0,16,,25.0,"1,000,880",4.0,,,,,,0
2476,We Didn�t Start Th,We Didn�t Start Th,Fall Out Boy,6/28/2023,USAT22306291,"2,464",28.7,"52,240,739","18,224","4,939,707",59.0,"19,520,315","328,759","9,851","8,607,238","71,305,547","16,462,540",10.0,"110,265",44,2.0,"9,501",30.0,,,"310,328","794,504",,0
2477,�- Sayonara,�!- Sayonara - Single,Kenshi Yonezu,4/8/2024,JPU902400966,"2,473",28.7,"22,739,117","1,119","5,275,757",71.0,"33,961,165","359,831","5,596",,,"9,849,140",20.0,329,,1.0,"9,615",10.0,"32,268",,,"59,510",,0
2494,Bi' Tek Ben Anlar�,Bi' Tek Ben Anlar�,K�,3/18/2022,TRAUR2200002,"2,480",28.6,"214,391,030","27,588","8,269,792",58.0,"301,701,293","1,063,678","315,600","8,311,405","196,090,529","16,824,491",12.0,"29,501",,3.0,"1,622,897",,,,,"861,877",,0
2503,Poppin,2 Aliv�,Yeat,2/18/2022,USUM72202097,"2,493",28.5,"152,999,496","61,870","4,946,068",63.0,"41,680,427","625,297","29,807","19,583,763","165,647,395","342,558,492",5.0,67,47,,,,"970,494","3,191","21,669,688","162,198",,1
2505,Casi Completa,PRESENTE,Juli�n �lvarez y su Norte�,11/17/2023,QZ7HP2300096,"2,489",28.5,"64,656,678","2,743","8,231,330",,"104,860,686","407,632",,"15,299","194,766","457,588,979",,"1,128",,1.0,"1,666",,"4,162,490","1,496",,"249,980",,0
2506,JOLENE,COWBOY CARTER,Beyonc�,3/27/2024,USSM12402711,"2,500",28.4,"57,163,264","3,903","8,284,613",,"13,386,365","216,945",,"544,300","21,400,000","151,388,634",37.0,"6,071",8,25.0,"1,640,251",30.0,"1,158,781","3,796","170,112","98,889",,0
2507,Ro�a Em,Ro�a Em,Z� Fe,11/17/2022,BRTLW2200006,"2,502",28.4,"192,684,719","15,067","10,379,433",63.0,"253,199,155","1,310,110","224,000","35,623,717","547,404,253","954,262,875",12.0,"2,805",,33.0,"801,839",11.0,842,2,,"125,189",,0
2514,X �LTIMA,LEGENDADDY,Daddy Yankee,3/25/2022,USUG12201738,"2,503",28.3,"409,394,001","53,657","22,643,350",64.0,"123,846,563","1,120,466","442,700","135,938,706","1,334,863,571","330,802,357",45.0,"15,971",81,18.0,"2,038,434",36.0,"23,456,449","1,603","676,729","526,470",,1
2521,Puta Mexicana,Som das Regi�,DJ Jeeh FDC,12/6/2022,QZW9M2275605,"2,508",28.3,"172,602,494","38,926","14,426,720",63.0,"122,947,771","1,241,098","312,400","143,003,405","1,722,398,168","12,348,511",,76,,18.0,"1,950,340",5.0,,,,,,1
2533,Survivor�s R,Survivor�s R,Roddy Ricch,5/31/2024,USAT22403043,"2,535",28.2,"4,462,637",789,"28,882,654",66.0,"2,244,519","116,431",,,,"20,570,003",27.0,134,20,7.0,"1,298,626",29.0,"703,876",89,"252,183","49,126",,1
2537,Wockesha,A Gangsta�,Moneybagg Yo,4/23/2021,USUM72105621,"2,518",28.2,"138,100,044","64,635","5,451,499",56.0,"168,383,616","1,456,308","30,274","13,135,047","94,781,829","56,308,304",59.0,"134,739",187,4.0,"64,845",8.0,"87,481,688","35,657",,"1,470,349",,1
2546,Mood Malandro,Mood Malandro,C�dig,8/24/2023,QM3DF2276204,"2,538",28.1,"188,309,858","15,111","13,192,945",71.0,"87,069,499","318,350",100,"1,927","18,855",,6.0,4,,7.0,"582,040",3.0,"3,910,844","1,376",,"422,023",,0
2548,TELEFONO NUEVO,nadie sabe lo que va a pasar ma�,Bad Bunny,10/13/2023,QMFME2364190,"2,544",28.1,"101,706,440","22,195","4,712,903",,"37,327,301","496,072",608,"1,421,099","11,568,535",,12.0,893,,,,3.0,"2,910,823",708,,"304,399",,1
2549,Dan�a Ma,Dan�a Ma,Bolofofos,5/3/2019,CAHQJ1924665,"2,536",28.1,"10,423,140","1,820","350,049",49.0,"1,126,576,126","2,223,950","3,453","49,425","3,059,373",16,,,,,,,,,,"9,247",,0
