,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1266,Marea (We�ve Lost Da,Marea (We�ve Lost Da,Fred again..,2/22/2021,GBAHS2100041,"1,259",42.2,"336,943,720","191,372","29,642,267",71.0,"31,888,669","286,044","31,989","11,683,008","155,341,425","6,032,497",91.0,"61,528",27,38.0,"184,585",27.0,"1,787,403","1,430","6,270,623","5,947,514",,0
1272,BOMB�,LEGENDADDY,Daddy Yankee,3/25/2022,USUG12201723,"1,272",42.0,"129,335,327","27,681","6,391,085",60.0,"215,778,342","1,548,240","2,800,000","211,713,881","2,692,316,483","2,785,686",10.0,"15,812",62,13.0,"79,203",2.0,"12,393,972","2,820","439,602","914,770",,1
1278,Get You The Moon (feat. Sn�,Get You The Moon (feat. Sn�,Kina,10/8/2018,USSM11808093,"1,270",42.0,"1,020,435,750","157,944","42,123,948",69.0,"199,282,045","3,250,046","4,868,621","2,193,688,729","21,650,351,404","20,366,285",70.0,"2,225",95,51.0,"819,864",13.0,"91,698,638","75,258","958,439","7,130,025",,0
1286,B�cane - A COLORS ,B�cane - A Colors Show - Si,Yam�,6/1/2023,DEXC82300032,"1,280",41.7,"120,595,666","37,922","4,374,053",69.0,"73,217,073","1,365,919","19,000","98,120,656","730,008,954","73,349,188",22.0,"7,444",,6.0,"175,058",1.0,"99,951",539,"4,548,785","3,106,294",,1
1292,� � �,� � � - Single,Jazzdauren,3/1/2024,RUAGV2400963,"1,287",41.5,"2,902,263",968,"474,517",56.0,"77,405,121","532,621",,"304,392","10,302,500",,11.0,8,,,,,,,,"904,938",,0
1295,Tiroteo - Remix,Tiroteo (Remix),Marc Segu�,4/1/2021,USWL12100143,"1,288",41.5,"654,941,874","83,163","29,637,614",75.0,"556,407,060","2,672,779","97,077","17,542,951","187,609,192","19,169,168",65.0,"26,498",15,34.0,"347,762",22.0,"335,231","2,375","457,443","2,646,335",,0
1303,Basit Numaralar,Basit Numaralar,Zerrin �,8/4/2023,TRBTU2300129,"1,299",41.3,"57,370,965","7,149","2,238,082",58.0,"215,435,066","698,761","203,800","7,122,446","297,307,993","292,835,488",8.0,"10,610",,2.0,"1,567,770",,,,,"714,127",,0
1316,I Don�t Wanna Live Forever (Fifty Shades D,I Don�t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/2016,USQ4E1602586,"1,312",41.1,"1,662,288,901","129,306","54,219,735",75.0,"1,049,659,880","9,224,750","171,618","1,982,231","6,028,763","508,689,201",130.0,"33,652",22,72.0,"721,612",29.0,"305,499,151","225,474","1,739,764","11,706,559",,0
1338,D�,D�,Teya Dora,3/22/2023,FRX202362720,"1,332",40.7,"125,289,731","25,929","2,777,533",65.0,"150,869,846","2,405,158","311,288","69,237,529","855,679,980","2,968,009",20.0,"1,302",,5.0,"2,700",,,,,"6,583,285",,0
1345,Marlboro Remix,Marlboro Remix - Single,,6/7/2024,QZNWT2471497,"1,343",40.6,,,,,,,,,,,,,,,,,,,,"504,979",,0
